"From (address)"|"From (display)"|"Sent on behalf of (address)"|"Date Sent"|"Subject"|"Body"|"Body HTML"
|"Erika Janowicz"||"6/18/2014 8:56:42 AM"|"Shire Shares Trend Higher On SunTrust's Note Of Possible Allergan Bid"|"Shares of Shire plc (NASDAQ: SHPG <http://www.benzinga.com/stock/shpg#NASDAQ> ) jumped 2.2 percent in Wednesday's pre-market following a SunTrust note suggesting that Allergan could bid for the pharmaceutical company.

SunTrust analyst John T. Boris reported that Allergan's bid for Shire would be ìmore attractiveî than Valeant's proposal. The analyst noted Allegan's bid ìallows more of an upsideî without traders holding the risky ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/tGBNY3ytxWw> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/tGBNY3ytxWw/shire-shares-trend-higher-on-suntrusts-note-of-possible-> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/analyst-color?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>Shares of <b>Shire plc</b> (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/shpg#NASDAQ"">SHPG</a>) jumped 2.2 percent in Wednesday&#039;s pre-market following a SunTrust note suggesting that <b>Allergan</b> could bid for the pharmaceutical company.</p> <p>SunTrust analyst John T. Boris reported that Allergan&#039;s bid for Shire would be ‚Äúmore attractive‚Äù than Valeant&#039;s proposal. The analyst noted Allegan&#039;s bid ‚Äúallows more of an upside‚Äù without traders holding the risky ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/tGBNY3ytxWw"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/tGBNY3ytxWw/shire-shares-trend-higher-on-suntrusts-note-of-possible-"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/18/2014 8:47:34 AM"|"UPDATE: Morgan Stanley Initiates Coverage On F5 Networks"|"In a note released Wednesday morning Morgan Stanley analyst James Faucette initiated coverage on F5 Networks (NASDAQ: FFIV <http://www.benzinga.com/stock/ffiv#NASDAQ> ) with an Equal-weight rating, but did not set a price target.

Faucette wrote, ""We agree with the Street estimates of ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/5M3UlfPmUlQ> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/5M3UlfPmUlQ/update-morgan-stanley-initiates-coverage-on-f5-networks> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/analyst-color?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a note released Wednesday morning Morgan Stanley analyst James Faucette initiated coverage on <b>F5 Networks</b> (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/ffiv#NASDAQ"">FFIV</a>) with an Equal-weight rating, but did not set a price target.</p> <p>Faucette wrote, ""We agree with the Street estimates of ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/5M3UlfPmUlQ"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/5M3UlfPmUlQ/update-morgan-stanley-initiates-coverage-on-f5-networks"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/18/2014 8:45:41 AM"|"Morgan Stanley Sees Continued Good Subscriptions For Adobe System"|"In a report published Wednesday, Morgan Stanley analyst Jennifer Swanson Lowe reiterated an Equal-Weight rating on Adobe Systems (NASDAQ: ADBE <http://www.benzinga.com/stock/adbe#NASDAQ> ).

In the report, Morgan Stanley ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/7xo23L3Qh5c> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/7xo23L3Qh5c/morgan-stanley-sees-continued-good-subscriptions-for-ado> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/analyst-color?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Wednesday, Morgan Stanley analyst Jennifer Swanson Lowe reiterated an Equal-Weight rating on <strong>Adobe Systems</strong> (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/adbe#NASDAQ"">ADBE</a>).</p> <p>In the report, Morgan Stanley ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/7xo23L3Qh5c"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/7xo23L3Qh5c/morgan-stanley-sees-continued-good-subscriptions-for-ado"">View article...</A></p></body></html>"
|"Luke Jacobi"||"6/18/2014 8:32:42 AM"|"Riverbed Technology Unmoved By Morgan Stanley Initiation"|"Morgan Stanley sees upside in Riverbed Technology (NASDAQ: RVBD <http://www.benzinga.com/stock/rvbd#NASDAQ> ), but initiated the stock at Equal-weight.

Analyst James Faucette describes one of his key concerns, ìWith its core WAN optimization market growth down to ~6%, expanding the addressable market is critical, and we believe Riverbed's unified vision has a chance to gain traction, ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/NRjbHthen9s> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/NRjbHthen9s/riverbed-technology-unmoved-by-morgan-stanley-initiation> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/analyst-color?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  Morgan Stanley sees upside in <strong>Riverbed Technology</strong> (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/rvbd#NASDAQ"">RVBD</a>), but initiated the stock at Equal-weight.</p> <p>  Analyst James Faucette describes one of his key concerns, &ldquo;With its core WAN optimization market growth down to ~6%, expanding the addressable market is critical, and we believe Riverbed&#39;s unified vision has a chance to gain traction, ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/NRjbHthen9s"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/NRjbHthen9s/riverbed-technology-unmoved-by-morgan-stanley-initiation"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/18/2014 8:29:51 AM"|"UPDATE: Morgan Stanley Initiates Coverage On Juniper"|"In a note released Wednesday morning, Morgan Stanley analyst James Faucette Initiated coverage on Juniper Networks (NYSE: JNPR <http://www.benzinga.com/stock/jnpr#NYSE> ) with an Equal-weight rating, but has yet to set a price target.

To begin the note, Faucette acknowledged that Juniper recently implemented an ""aggressive"" operating plan inline with the requests of activist shareholders.

He believes ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/D5ho6ZE5ct8> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/D5ho6ZE5ct8/update-morgan-stanley-initiates-coverage-on-juniper> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/analyst-color?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a note released Wednesday morning, Morgan Stanley analyst James Faucette Initiated coverage on <b>Juniper Networks</b> (NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/jnpr#NYSE"">JNPR</a>) with an Equal-weight rating, but has yet to set a price target.</p> <p>  To begin the note, Faucette acknowledged that Juniper recently implemented an &quot;aggressive&quot; operating plan inline with the requests of activist shareholders.</p> <p>  He believes ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/D5ho6ZE5ct8"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/D5ho6ZE5ct8/update-morgan-stanley-initiates-coverage-on-juniper"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/18/2014 8:25:25 AM"|"Morgan Stanley Sees Multiple Growth Drivers For BlackRock"|"In a report published Wednesday, Morgan Stanley analyst Betsy L. Graseck reiterated an Overweight rating and $367.00 price target on BlackRock (NYSE: BLK <http://www.benzinga.com/stock/blk#NYSE> ).

In the report, Morgan Stanley noted, ìWe view BLK as well positioned in the current ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/mEOtTXQ8zbU> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/mEOtTXQ8zbU/morgan-stanley-sees-multiple-growth-drivers-for-blackroc> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/analyst-color?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Wednesday, Morgan Stanley analyst Betsy L. Graseck reiterated an Overweight rating and $367.00 price target on <strong>BlackRock</strong> (NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/blk#NYSE"">BLK</a>).</p> <p>In the report, Morgan Stanley noted, ‚ÄúWe view BLK as well positioned in the current ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/mEOtTXQ8zbU"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/mEOtTXQ8zbU/morgan-stanley-sees-multiple-growth-drivers-for-blackroc"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/18/2014 8:19:41 AM"|"UPDATE: Morgan Stanley Initiates Coverage On QUALCOMM"|"In a note released Wednesday morning, Morgan Stanley analyst James Faucette initiated coverage on QUALCOMM (NASDAQ: QCOM <http://www.benzinga.com/stock/qcom#NASDAQ> ) with an Equal-weight rating, however, he has not yet set a price target.

The Good
Faucette views the transition of mobile carriers, such as China Mobile, 3G ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/JhTu7NYk8G4> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/JhTu7NYk8G4/update-morgan-stanley-initiates-coverage-on-qualcomm> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/analyst-color?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a note released Wednesday morning, Morgan Stanley analyst James Faucette initiated coverage on <b>QUALCOMM</b> (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/qcom#NASDAQ"">QCOM</a>) with an Equal-weight rating, however, he has not yet set a price target.</p> <p>  <b>The Good</b><br />  Faucette views the transition of mobile carriers, such as China Mobile, 3G ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/JhTu7NYk8G4"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/JhTu7NYk8G4/update-morgan-stanley-initiates-coverage-on-qualcomm"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/18/2014 8:13:47 AM"|"UPDATE: Wunderlich Securities Initiates Coverage On MeetMe On Good Upside Potential"|"In a report published Wednesday, Wunderlich Securities analyst Blake T. Harper initiated coverage on MeetMe (NASDAQ: MEET <http://www.benzinga.com/stock/meet#NASDAQ> ) with a Buy rating and $4.50 price target.

In the report, Wunderlich Securities noted, ìWe are initiating coverage of social networking platform MeetMe, Inc. (MEET) with a Buy rating and a $4.50 ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/W52oGvjpD8g> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/W52oGvjpD8g/update-wunderlich-securities-initiates-coverage-on-meetm> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/analyst-color?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Wednesday, Wunderlich Securities analyst Blake T. Harper initiated coverage on <strong>MeetMe</strong> (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/meet#NASDAQ"">MEET</a>) with a Buy rating and $4.50 price target.</p> <p>In the report, Wunderlich Securities noted, ‚ÄúWe are initiating coverage of social networking platform MeetMe, Inc. (MEET) with a Buy rating and a $4.50 ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/W52oGvjpD8g"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/W52oGvjpD8g/update-wunderlich-securities-initiates-coverage-on-meetm"">View article...</A></p></body></html>"
|"Luke Jacobi"||"6/18/2014 8:12:33 AM"|"Cisco Up On Morgan Stanley Initiation"|"Cisco (NASDAQ: CSCO <http://www.benzinga.com/stock/csco#NASDAQ> ) shares are moving up in Wednesday's pre-market after Morgan Stanley initiated the company at overweight. The $30 price target is 22.4 percent above Tuesdayís close.

Analyst James Faucette has huge expectations for Cisco in the upcoming year. Wall Street expects five percent earnings growth, however, Faucette sees 11 ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/EnO1mL1uSpo> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/EnO1mL1uSpo/cisco-up-on-morgan-stanley-initiation> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/analyst-color?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  <strong>Cisco </strong>(NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/csco#NASDAQ"">CSCO</a>) shares are moving up in Wednesday&#039;s pre-market after Morgan Stanley initiated the company at overweight. The $30 price target is 22.4 percent above Tuesday&rsquo;s close.</p> <p>  Analyst James Faucette has huge expectations for Cisco in the upcoming year. Wall Street expects five percent earnings growth, however, Faucette sees 11 ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/EnO1mL1uSpo"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/EnO1mL1uSpo/cisco-up-on-morgan-stanley-initiation"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/18/2014 8:09:04 AM"|"UPDATE: Morgan Stanley Initiates Coverage On BlackBerry"|"In a note released Wednesday morning, Morgan Stanley analyst James Faucette initiated coverage on BlackBerry (NASDAQ: BBRY <http://www.benzinga.com/stock/bbry#NASDAQ> ) with an Equal-weight rating.

In the mid-term, Faucette says BlackBerry's balance sheet will benefit from cash coming from tax rebates and the sale of real estate. When looking out ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/I5xPbVH5lFA> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/I5xPbVH5lFA/update-morgan-stanley-initiates-coverage-on-blackberry> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/analyst-color?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a note released Wednesday morning, Morgan Stanley analyst James Faucette initiated coverage on <b>BlackBerry</b> (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/bbry#NASDAQ"">BBRY</a>) with an Equal-weight rating.</p> <p>In the mid-term, Faucette says BlackBerry&#039;s balance sheet will benefit from cash coming from tax rebates and the sale of real estate. When looking out ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/analyst-color/~4/I5xPbVH5lFA"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/analyst-color/~3/I5xPbVH5lFA/update-morgan-stanley-initiates-coverage-on-blackberry"">View article...</A></p></body></html>"
