"From (address)"|"From (display)"|"Sent on behalf of (address)"|"Date Sent"|"Subject"|"Body"|"Body HTML"
|"Dwight Einhorn"||"6/18/2014 8:04:36 AM"|"UPDATE: Keefe, Bruyette & Woods Downgrades NewBridge Bancorp As Shares Climb 22% Since Mid-April"|"In a report published Wednesday, Keefe, Bruyette & Woods analyst Frank barclays-downgrades-qlogic-to-equal-weight-shares-drop downgraded the rating on NewBridge Bancorp (NASDAQ: NBBC <http://www.benzinga.com/stock/nbbc#NASDAQ> ) from Outperform to Market Perform, but reiterated the $8.50 price target.

In the report, Keefe, Bruyette & Woods noted, “We are downgrading NBBC to Market Perform from Outperform ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/downgrades/~4/umYF3r2NMPw> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/downgrades/~3/umYF3r2NMPw/update-keefe-bruyette-woods-downgrades-newbridge-bancorp> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/downgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Wednesday, Keefe, Bruyette &amp; Woods analyst Frank Barlow downgraded the rating on <strong>NewBridge Bancorp</strong> (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/nbbc#NASDAQ"">NBBC</a>) from Outperform to Market Perform, but reiterated the $8.50 price target.</p> <p>In the report, Keefe, Bruyette &amp; Woods noted, â€œWe are downgrading NBBC to Market Perform from Outperform ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/downgrades/~4/umYF3r2NMPw"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/downgrades/~3/umYF3r2NMPw/update-keefe-bruyette-woods-downgrades-newbridge-bancorp"">View article...</A></p></body></html>"



|"Monica Gerson"||"6/18/2014 7:56:06 AM"|"Benzinga's Top Downgrades"|"Analysts at BMO Capital downgraded Covidien plc (NYSE: COV <http://www.benzinga.com/stock/cov#NYSE> ) from “outperform” to “market perform.” The target price for Covidien has been raised from $78.00 to $93.22. Covidien's shares closed at $88.12 yesterday. 

JP Morgan downgraded GNC Holdings (NYSE: 

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/downgrades/~4/WstpJgyuB90> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/downgrades/~3/WstpJgyuB90/benzingas-top-downgrades> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/downgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>Analysts at BMO Capital downgraded Covidien plc (NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/cov#NYSE"">COV</a>) from â€œoutperformâ€ to â€œmarket perform.â€ The target price for Covidien has been raised from $78.00 to $93.22. Covidien&#039;s shares closed at $88.12 yesterday. </p> <p>JP Morgan downgraded GNC Holdings (NYSE: <a class=""ticker"" ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/downgrades/~4/WstpJgyuB90"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/downgrades/~3/WstpJgyuB90/benzingas-top-downgrades"">View article...</A></p></body></html>"

|"Eric Niederer"||"6/18/2014 9:43:57 AM"|"UPDATE: Morgan Stanley Downgrades Melco Crown Entertainment"|"In a note released Wednesday morning, Morgan Stanley analysts downgraded shares of Melco Crown Entertainment (NASDAQ: 	 <http://www.benzinga.com/stock/mpel#NASDAQ> ) from Overweight to Equal-weight and cut the price target from $43 to $36.

The Good
The team over at Morgan Stanley believes Melco could have a better second quarter than its peers based on the run-rate in April and May. Furthermore, the team says Melco could see ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/downgrades/~4/S1oyMYE7qDQ> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/downgrades/~3/S1oyMYE7qDQ/update-morgan-stanley-downgrades-melco-crown-entertainme> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/downgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a note released Wednesday morning, Morgan Stanley analysts downgraded shares of <strong>Melco Crown Entertainment </strong>(NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/mpel#NASDAQ"">MPEL</a>) from Overweight to Equal-weight and cut the price target from $43 to $36.</p> <p>  <b>The Good</b><br />  The team over at Morgan Stanley believes Melco could have a better second quarter than its peers based on the run-rate in April and May. Furthermore, the team says Melco could see ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/downgrades/~4/S1oyMYE7qDQ"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/downgrades/~3/S1oyMYE7qDQ/update-morgan-stanley-downgrades-melco-crown-entertainme"">View article...</A></p></body></html>"
|"Erika Janowicz"||"6/18/2014 4:39:26 PM"|"Analysts Battle Over Competing Bids For MICROS"|"Analysts battle over the possibility of competing bids for MICROS Systems (NASDAQ: MCRS <http://www.benzinga.com/stock/mcrs#NASDAQ> ).

Oracle Deal “Makes Sense”

On Wednesday, Summit Research analyst Richard Williams commented on the possible acquisition of Micros by Oracle (NYSE: ORCL <http://www.benzinga.com/stock/orcl#NYSE> ) for roughly $5 billion. Williams remarked that the deal is probable, especially following the 2014 National Retail Federation Conference in New York. At the conference, the analyst noted that retailers are continuing to invest in infrastructure software to better compete with online retailers.

Daniel Ives from FBR also believes that this deal “makes sense”. Ives wrote, “Strategically speaking, we believe this deal ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/downgrades/~4/tBRTV4t3sds> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/downgrades/~3/tBRTV4t3sds/analysts-battle-over-competing-bids-for-micros> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/downgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>Analysts battle over the possibility of competing bids for <b>MICROS Systems</b> (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/mcrs#NASDAQ"">MCRS</a>).</p> <p><b>Oracle Deal â€œMakes Senseâ€</b></p> <p>On Wednesday, Summit Research analyst Richard Williams commented on the possible acquisition of Micros by <b>Oracle</b> (NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/orcl#NYSE"">ORCL</a>) for roughly $5 billion.  Williams remarked that the deal is probable, especially following the 2014 National Retail Federation Conference in New York.  At the conference, the analyst noted that retailers are continuing to invest in infrastructure software to better compete with online retailers.</p> <p>Daniel Ives from FBR also believes that this deal â€œmakes senseâ€.  Ives wrote, â€œStrategically speaking, we believe this deal ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/downgrades/~4/tBRTV4t3sds"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/downgrades/~3/tBRTV4t3sds/analysts-battle-over-competing-bids-for-micros"">View article...</A></p></body></html>"
|"Erika Janowicz"||"6/18/2014 2:55:40 PM"|"Outerwall Shares Fall Following B. Riley Downgrade"|"Shares of Outerwall (Nasdaq: OUTR <http://www.benzinga.com/stock/outr#NASDAQ> ) have fallen over six seven percent following a B. Riley downgrade from Buy to Neutral and price target cut from $100.00 to $76.00.

B. Riley analyst Eric Wold highlighted that Outerwall's revenue growth could ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/downgrades/~4/Y3dDoeBPqeU> 
 

View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/downgrades/~3/Y3dDoeBPqeU/outerwall-shares-fall-following-b-riley-downgrade> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/downgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  Shares of <b>Outerwall</b> (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/outr#NASDAQ"">OUTR</a>) have fallen over six seven percent following a B. Riley downgrade from Buy to Neutral and price target cut from $100.00 to $76.00.</p> <p>  B. Riley analyst Eric Wold highlighted that Outerwall&#39;s revenue growth could ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/downgrades/~4/Y3dDoeBPqeU"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/downgrades/~3/Y3dDoeBPqeU/outerwall-shares-fall-following-b-riley-downgrade"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/18/2014 12:16:07 PM"|"UPDATE: Argus Downgrades Cracker Barrel"|"In a note released Wednesday, Argus analysts downgraded shares of ,b>Cracker Barrel Old Country Store (NASDAQ: CBRL <http://www.benzinga.com/stock/cbrl#NASDAQ> ) from Buy to Hold and removed the $120 price target.

Despite a positive view on Cracker Barrel's theme, location and ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/downgrades/~4/QUUDbu_3MEo> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/downgrades/~3/QUUDbu_3MEo/update-argus-downgrades-cracker-barrel> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/downgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a note released Wednesday, Argus analysts downgraded shares of ,b>Cracker Barrel Old Country Store (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/cbrl#NASDAQ"">CBRL</a>) from Buy to Hold and removed the $120 price target.</p> <p>Despite a positive view on Cracker Barrel&#039;s theme, location and ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/downgrades/~4/QUUDbu_3MEo"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/downgrades/~3/QUUDbu_3MEo/update-argus-downgrades-cracker-barrel"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/18/2014 12:01:37 PM"|"SunPower Shares Falling Following JP Morgan Downgrade"|"In Wednesday's morning summary, analysts at JP Morgan downgraded shares of SunPower (NASDAQ: SPWR <http://www.benzinga.com/stock/spwr#NASDAQ> ) from Overweight to Neutral and maintained a $40 price target.

The team at JP Morgan commented, ""We ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/downgrades/~4/o12JdD5aHeQ> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/downgrades/~3/o12JdD5aHeQ/sunpower-shares-falling-following-jp-morgan-downgrade> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/downgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In Wednesday&#39;s morning summary, analysts at JP Morgan downgraded shares of <strong>SunPower </strong>(NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/spwr#NASDAQ"">SPWR</a>) from Overweight to Neutral and maintained a $40 price target.</p> <p>  The team at JP Morgan commented, &quot;We ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/downgrades/~4/o12JdD5aHeQ"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/downgrades/~3/o12JdD5aHeQ/sunpower-shares-falling-following-jp-morgan-downgrade"">View article...</A></p></body></html>"
