"From (address)"|"From (display)"|"Sent on behalf of (address)"|"Date Sent"|"Subject"|"Body"|"Body HTML"
|"Eric Niederer"||"6/17/2014 10:43:57 AM"|"UPDATE: JMP Securities Initiates Coverage On Pacira Pharmaceuticals"|"In a note released Tuesday Morning, JMP analyst Oren ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/NnezptzcCGc> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/NnezptzcCGc/update-jmp-securities-initiates-coverage-on-pacira-pharm> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a note released Tuesday Morning, JMP analyst Oren ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/NnezptzcCGc"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/NnezptzcCGc/update-jmp-securities-initiates-coverage-on-pacira-pharm"">View article...</A></p></body></html>"
|"Erika Janowicz"||"6/17/2014 10:41:02 AM"|"UPDATE: UBS Initiates Coverage On Orbitz Emphasizing Loyalty Program, Growth Opportunities"|"In a report published Monday, UBS analyst ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/m2dDFz_UsR0> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/m2dDFz_UsR0/update-ubs-initiates-coverage-on-orbitz-emphasizing-loya> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Monday, UBS analyst ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/m2dDFz_UsR0"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/m2dDFz_UsR0/update-ubs-initiates-coverage-on-orbitz-emphasizing-loya"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/18/2014 8:59:21 AM"|"UPDATE: Morgan Stanley Initiates Coverage On Garmin"|"In a note released Wednesday morning Morgan Stanley analyst James Faucette initiated coverage ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/HVvq7NI3EU4> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/HVvq7NI3EU4/update-morgan-stanley-initiates-coverage-on-garmin> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a note released Wednesday morning Morgan Stanley analyst James Faucette initiated coverage ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/HVvq7NI3EU4"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/HVvq7NI3EU4/update-morgan-stanley-initiates-coverage-on-garmin"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/18/2014 8:47:34 AM"|"UPDATE: Morgan Stanley Initiates Coverage On F5 Networks"|"In a note released Wednesday morning Morgan Stanley analyst ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/5M3UlfPmUlQ> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/5M3UlfPmUlQ/update-morgan-stanley-initiates-coverage-on-f5-networks> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a note released Wednesday morning Morgan Stanley analyst ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/5M3UlfPmUlQ"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/5M3UlfPmUlQ/update-morgan-stanley-initiates-coverage-on-f5-networks"">View article...</A></p></body></html>"
|"Luke Jacobi"||"6/18/2014 8:32:42 AM"|"Riverbed Technology Unmoved By Morgan Stanley Initiation"|"Morgan Stanley sees upside in ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/NRjbHthen9s> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/NRjbHthen9s/riverbed-technology-unmoved-by-morgan-stanley-initiation> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  Morgan Stanley sees upside in ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/NRjbHthen9s"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/NRjbHthen9s/riverbed-technology-unmoved-by-morgan-stanley-initiation"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/18/2014 8:29:51 AM"|"UPDATE: Morgan Stanley Initiates Coverage On Juniper"|"In a note released Wednesday morning, Morgan Stanley analyst ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/D5ho6ZE5ct8> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/D5ho6ZE5ct8/update-morgan-stanley-initiates-coverage-on-juniper> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a note released Wednesday morning, Morgan Stanley analyst ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/D5ho6ZE5ct8"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/D5ho6ZE5ct8/update-morgan-stanley-initiates-coverage-on-juniper"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/18/2014 8:19:41 AM"|"UPDATE: Morgan Stanley Initiates Coverage On QUALCOMM"|"In a note released Wednesday morning, Morgan Stanley analyst ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/JhTu7NYk8G4> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/JhTu7NYk8G4/update-morgan-stanley-initiates-coverage-on-qualcomm> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a note released Wednesday morning, Morgan Stanley analyst ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/JhTu7NYk8G4"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/JhTu7NYk8G4/update-morgan-stanley-initiates-coverage-on-qualcomm"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"6/18/2014 8:13:47 AM"|"UPDATE: Wunderlich Securities Initiates Coverage On MeetMe On Good Upside Potential"|"In a report published Wednesday, Wunderlich Securities analyst ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/W52oGvjpD8g> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/W52oGvjpD8g/update-wunderlich-securities-initiates-coverage-on-meetm> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Wednesday, Wunderlich Securities analyst ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/W52oGvjpD8g"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/W52oGvjpD8g/update-wunderlich-securities-initiates-coverage-on-meetm"">View article...</A></p></body></html>"
|"Luke Jacobi"||"6/18/2014 8:12:33 AM"|"Cisco Up On Morgan Stanley Initiation"|"Cisco (NASDAQ: CSCO <http://feeds.benzinga.com/stock/csco#NASDAQ> ) shares are moving up ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/EnO1mL1uSpo> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/EnO1mL1uSpo/cisco-up-on-morgan-stanley-initiation> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  <strong>Cisco </strong>(NASDAQ: <a class=""ticker"" href=""/stock/csco#NASDAQ"">CSCO</a>) shares are moving up ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/EnO1mL1uSpo"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/EnO1mL1uSpo/cisco-up-on-morgan-stanley-initiation"">View article...</A></p></body></html>"
|"Eric Niederer"||"6/18/2014 8:09:04 AM"|"UPDATE: Morgan Stanley Initiates Coverage On BlackBerry"|"In a note released Wednesday morning, ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/I5xPbVH5lFA> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/I5xPbVH5lFA/update-morgan-stanley-initiates-coverage-on-blackberry> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/initiation?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a note released Wednesday morning, ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/initiation/~4/I5xPbVH5lFA"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/initiation/~3/I5xPbVH5lFA/update-morgan-stanley-initiates-coverage-on-blackberry"">View article...</A></p></body></html>"
