"From (address)"|"From (display)"|"Sent on behalf of (address)"|"Date Sent"|"Subject"|"Body"|"Body HTML"
|"Matthew Kanterman"||"7/30/2013 2:18:27 PM"|"Credit Suisse On Potash Stocks: No Longer About Price, Volumes Key"|"In a note published midday Tuesday, Credit Suisse tried to make sense of the recent volatility in potash stocks.

Stocks including Agrium (NYSE: AGU <http://www.benzinga.com/stock/agu#NYSE> ), Mosaic (NYSE: MOS <http://www.benzinga.com/stock/mos#NYSE> ), and Potash (NYSE: POT <http://www.benzinga.com/stock/pot#NYSE> ) declined sharply Tuesday on news that one of the two large European potash cartels was breaking up and that prices in the market were to tumble <http://www.benzinga.com/news/13/07/3795022/traders-dump-potash-stocks-as-pricing-power-expected-to-drop> .

The End of An Era

""Following Uralkali's announcement to exit BPC resulting in a dramatic change in its marketing strategy from price-over-volume to volume maximization, we remain cautious on potash producers despite today's precipitous price declines,"" wrote the analyst team at Credit Suisse led by Semyon Mironov and Christopher S. Parkinson.

""Uralkali expects to operate at 100% capacity utilization next year (capacity of ~13mm tonnes), capturing market share at the expense of lower prices. ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/TM20Hc3EFqg> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/TM20Hc3EFqg/credit-suisse-on-potash-stocks-no-longer-about-price-vol> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/reiteration?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a note published midday Tuesday, Credit Suisse tried to make sense of the recent volatility in potash stocks.</p>   <p>Stocks including <strong>Agrium</strong> (NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/agu#NYSE"">AGU</a>), <strong>Mosaic</strong> (NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/mos#NYSE"">MOS</a>), and <strong>Potash</strong> (NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/pot#NYSE"">POT</a>) declined sharply Tuesday on news that <a href=""http://www.benzinga.com/news/13/07/3795022/traders-dump-potash-stocks-as-pricing-power-expected-to-drop"">one of the two large European potash cartels was breaking up and that prices in the market were to tumble</a>.</p>  <p><strong>The End of An Era</strong></p> <p>""Following Uralkali&#039;s announcement to exit BPC resulting in a dramatic change in its marketing strategy from price-over-volume to volume maximization, we remain cautious on potash producers despite today&#039;s precipitous price declines,"" wrote the analyst team at Credit Suisse led by Semyon Mironov and Christopher S. Parkinson.</p>  <p>""Uralkali expects to operate at 100% capacity utilization next year (capacity of ~13mm tonnes), capturing market share at the expense of lower prices. ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/TM20Hc3EFqg"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/TM20Hc3EFqg/credit-suisse-on-potash-stocks-no-longer-about-price-vol"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"7/30/2013 8:19:23 AM"|"Sterne Agee Reiterates Neutral Rating on Raytheon Following 2Q13 Recap"|"In a report published Tuesday, Sterne Agee analyst Peter Arment reiterated a Neutral rating on Raytheon (NYSE: RTN <http://www.benzinga.com/stock/rtn#NYSE> ).

In the report, Sterne Agee noted, ìRTN was able to beat Street EPS by $0.20 ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/Anfxkq3jpB0> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/Anfxkq3jpB0/sterne-agee-reiterates-neutral-rating-on-raytheon-follow> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/reiteration?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a report published Tuesday, Sterne Agee analyst Peter Arment reiterated a Neutral rating on <strong>Raytheon</strong>¬†(NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/rtn#NYSE"">RTN</a>).</p> <p>  In the report, Sterne Agee noted, ‚ÄúRTN was able to beat Street EPS by $0.20 ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/Anfxkq3jpB0"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/Anfxkq3jpB0/sterne-agee-reiterates-neutral-rating-on-raytheon-follow"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"7/26/2013 9:19:00 AM"|"Wells Fargo Reiterates Outperform on Apple Following Earnings Report"|"In a report published Friday, Wells Fargo Securities analyst Maynard Um reiterated an Outperform rating on Apple (NASDAQ: AAPL <http://www.benzinga.com/stock/aapl#NASDAQ> ).

In the report, Wells Fargo Securities noted, ìWarranty reversal in the June quarter ña 120-basis-point (bp) gross margin benefit, all else equal. Apple reversed some of its warranty over accruals in Q3, which provided a tailwind to gross margin by about ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/qIefiQpVj00> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/qIefiQpVj00/wells-fargo-reiterates-outperform-on-apple-following-ear> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/reiteration?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Friday, Wells Fargo Securities analyst Maynard Um reiterated an Outperform rating on <strong>Apple</strong> (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/aapl#NASDAQ"">AAPL</a>).</p>  <p>In the report, Wells Fargo Securities noted, ‚ÄúWarranty reversal in the June quarter ‚Äìa 120-basis-point (bp) gross margin benefit, all else equal. Apple reversed some of its warranty over accruals in Q3, which provided a tailwind to gross margin by about ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/qIefiQpVj00"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/qIefiQpVj00/wells-fargo-reiterates-outperform-on-apple-following-ear"">View article...</A></p></body></html>"
|"Paul Quintaro"||"7/25/2013 2:42:06 PM"|"Piper Says Target Q2 May Be More Challenging, Reiterate Outperform, PT $80"|"Piper Jaffray analyst Sean Naughton wrote Thursday that Target's (NYSE: TGT <http://www.benzinga.com/stock/tgt#NYSE> ) second quarter may be more ""challenging"" than the first after a meeting with management. However, he maintained his overweight rating ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/lUsHIu-kudk> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/lUsHIu-kudk/piper-says-target-q2-may-be-more-challenging-reiterate-o> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/reiteration?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>Piper Jaffray analyst Sean Naughton wrote Thursday that <strong>Target&#039;s</strong> (NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/tgt#NYSE"">TGT</a>) second quarter may be more ""challenging"" than the first after a meeting with management. However, he maintained his overweight rating ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/lUsHIu-kudk"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/lUsHIu-kudk/piper-says-target-q2-may-be-more-challenging-reiterate-o"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"7/25/2013 9:55:41 AM"|"Morgan Stanley Reiterates Equal-Weight Rating on InterMune Following 2Q Sales Results"|"In a report published Thursday, Morgan Stanley analyst David Friedman reiterated an Equal-Weight rating and $9.00 price target on InterMune (NASDAQ: ITMN <http://www.benzinga.com/stock/itmn#NASDAQ> ).

In the report, Morgan Stanley noted, ì2Q sales of $14.4mn were above our $12.25mn estimate. Intermune increased the sales guidance range to $55-$70mn ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/hFsYi1HH_Rk> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/hFsYi1HH_Rk/morgan-stanley-reiterates-equal-weight-rating-on-intermu> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/reiteration?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a report published Thursday, Morgan Stanley analyst David Friedman reiterated an Equal-Weight rating and $9.00 price target on <strong>InterMune</strong> (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/itmn#NASDAQ"">ITMN</a>).</p> <p>  In the report, Morgan Stanley noted, ‚Äú2Q sales of $14.4mn were above our $12.25mn estimate. Intermune increased the sales guidance range to $55-$70mn ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/hFsYi1HH_Rk"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/hFsYi1HH_Rk/morgan-stanley-reiterates-equal-weight-rating-on-intermu"">View article...</A></p></body></html>"
|"Jake L'Ecuyer"||"7/24/2013 1:47:06 PM"|"Citi Analyst Says J.C.Penney is Facing Risks to its Q2 Comp Sales and its Top-Line"|"In a report published Wednesday morning, Citi analyst Deborah Weinswig said that management departures from J.C. Penney (NYSE: JCP <http://www.benzinga.com/stock/jcp#NYSE> ) show challenges to the company's second-quarter comp sales. 

While Weinswig reiterated her Neutral rating ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/NlkcLKYxNls> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/NlkcLKYxNls/citi-analyst-says-j-c-penney-is-facing-risks-to-its-q2-c> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/reiteration?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published Wednesday morning, Citi analyst Deborah Weinswig said that management departures from J.C. Penney (NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/jcp#NYSE"">JCP</a>) show challenges to the company&#039;s second-quarter comp sales. </p>  <p>While Weinswig reiterated her Neutral rating ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/NlkcLKYxNls"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/NlkcLKYxNls/citi-analyst-says-j-c-penney-is-facing-risks-to-its-q2-c"">View article...</A></p></body></html>"
|"Paul Quintaro"||"7/24/2013 1:10:45 PM"|"Fitch Says New Michael Dell Bid Price Consistent With Dell Ratings"|"The increased proposal of $13.75 per share for Dell Inc. from Michael Dell and Silver Lake would be accommodated at the current ratings guidance range of 'B+' to 'BB-', Fitch Ratings says. The higher price would have minimal impact on leverage. A rumored increase to $14 per share would also be unlikely to impact the ratings guidance range of 'B+' to 'BB-'. However, this price would make the possibility of achieving a 'BB-' much more remote. Given our expectations for weak results ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/owE4N1OOEcQ> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/owE4N1OOEcQ/fitch-says-new-michael-dell-bid-price-consistent-with-de> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/reiteration?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>The increased proposal of $13.75 per share for Dell Inc. from Michael Dell and Silver Lake would be accommodated at the current ratings guidance range of &#039;B+&#039; to &#039;BB-&#039;, Fitch Ratings says. The higher price would have minimal impact on leverage. A rumored increase to $14 per share would also be unlikely to impact the ratings guidance range of &#039;B+&#039; to &#039;BB-&#039;. However, this price would make the possibility of achieving a &#039;BB-&#039; much more remote. Given our expectations for weak results ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/owE4N1OOEcQ"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/owE4N1OOEcQ/fitch-says-new-michael-dell-bid-price-consistent-with-de"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"7/24/2013 11:16:33 AM"|"Morgan Stanley Reiterates Overweight Rating on Apple Following Raised Estimates"|"In a report published Wednesday, Morgan Stanley analyst Katy L. Huberty reiterated an Overweight rating and $540.00 price target on Apple (NASDAQ: AAPL <http://www.benzinga.com/stock/aapl#NASDAQ> ).

In the report, ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/CNFKMcD_yMc> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/CNFKMcD_yMc/morgan-stanley-reiterates-overweight-rating-on-apple-fol> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/reiteration?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a report published Wednesday, Morgan Stanley analyst Katy L. Huberty reiterated an Overweight rating and $540.00 price target on <strong>Apple</strong> (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/aapl#NASDAQ"">AAPL</a>).</p> <p>  In the report, ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/CNFKMcD_yMc"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/CNFKMcD_yMc/morgan-stanley-reiterates-overweight-rating-on-apple-fol"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"7/24/2013 11:12:44 AM"|"J.P. Morgan Reiterates Overweight Rating on Apple Ahead of Expected Shares Rally"|"In a report published Wednesday, J.P. Morgan analyst Mark Moskowitz reiterated an Overweight rating and $545.00 price target on Apple (NASDAQ: AAPL <http://www.benzinga.com/stock/aapl#NASDAQ> ).

In the report, J.P. Morgan noted, ìWe expect shares of OW-rated Apple to exhibit a relief rally in the near term. The company's Sep-Q outlook requires ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/2JnYIc_eANY> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/2JnYIc_eANY/j-p-morgan-reiterates-overweight-rating-on-apple-ahead-o> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/reiteration?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a report published Wednesday, J.P. Morgan analyst Mark Moskowitz reiterated an Overweight rating and $545.00 price target on <strong>Apple</strong> (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/aapl#NASDAQ"">AAPL</a>).</p> <p>  In the report, J.P. Morgan noted, ‚ÄúWe expect shares of OW-rated Apple to exhibit a relief rally in the near term. The company&#039;s Sep-Q outlook requires ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/2JnYIc_eANY"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/2JnYIc_eANY/j-p-morgan-reiterates-overweight-rating-on-apple-ahead-o"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"7/24/2013 11:08:45 AM"|"Canaccord Genuity Reiterates Buy Rating on Apple Following June Quarter Results"|"In a report published Wednesday, Canaccord Genuity analyst T. Michael Walkley reiterated a Buy rating and $530.00 price target on Apple (NASDAQ: AAPL <http://www.benzinga.com/stock/aapl#NASDAQ> ).

In the report, Canaccord Genuity noted, ìApple reported mixed June quarter results at the high end of its guidance range with iPhone sales above expectations, but iPad ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/d_8v0OOs7Rk> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/d_8v0OOs7Rk/canaccord-genuity-reiterates-buy-rating-on-apple-followi> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/reiteration?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a report published Wednesday, Canaccord Genuity analyst T. Michael Walkley reiterated a Buy rating and $530.00 price target on <strong>Apple</strong> (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/aapl#NASDAQ"">AAPL</a>).</p> <p>  In the report, Canaccord Genuity noted, ‚ÄúApple reported mixed June quarter results at the high end of its guidance range with iPhone sales above expectations, but iPad ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/reiteration/~4/d_8v0OOs7Rk"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/reiteration/~3/d_8v0OOs7Rk/canaccord-genuity-reiterates-buy-rating-on-apple-followi"">View article...</A></p></body></html>"
