"From (address)"|"From (display)"|"Sent on behalf of (address)"|"Date Sent"|"Subject"|"Body"|"Body HTML"
|"Dwight Einhorn"||"7/30/2013 11:33:44 AM"|"UPDATE: Deutsche Bank Upgrades Perrigo Following Elan Acquisition Announcement"|"In a report published Tuesday, Deutsche Bank analyst David M. Steinberg upgraded Perrigo (NYSE: PRGO <http://www.benzinga.com/stock/prgo#NYSE> ) from Hold to Buy, and raised the price target from $120.00 to $150.00.

In the report, Deutsche Bank noted, ìWe believe the announced ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/cEF2LdmC8go> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/cEF2LdmC8go/update-deutsche-bank-upgrades-perrigo-following-elan-acq> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/upgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a report published Tuesday, Deutsche Bank analyst David M. Steinberg upgraded¬†<strong>Perrigo </strong>(NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/prgo#NYSE"">PRGO</a>) from Hold to Buy, and raised the price target from $120.00 to $150.00.</p> <p>  In the report, Deutsche Bank noted, ‚ÄúWe believe the announced ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/cEF2LdmC8go"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/cEF2LdmC8go/update-deutsche-bank-upgrades-perrigo-following-elan-acq"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"7/30/2013 9:16:20 AM"|"UPDATE: Williams Financial Group Upgrades PulteGroup on Favorable Long-Term Outlook"|"In a report published Tuesday, Williams Financial Group analyst David N. Williams upgraded PulteGroup (NYSE: PHM <http://www.benzinga.com/stock/phm#NYSE> ) from Hold to Buy, but lowered the price target from $23.00 to $21.00.

In the report, Williams Financial Group noted, ìWe are upgrading ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/AE3O_IdXpV8> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/AE3O_IdXpV8/update-williams-financial-group-upgrades-pultegroup-on-f> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/upgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a report published Tuesday, Williams Financial Group analyst David N. Williams upgraded¬†<strong>PulteGroup</strong> (NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/phm#NYSE"">PHM</a>) from Hold to Buy, but lowered the price target from $23.00 to $21.00.</p> <p>  In the report, Williams Financial Group noted, ‚ÄúWe are upgrading ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/AE3O_IdXpV8"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/AE3O_IdXpV8/update-williams-financial-group-upgrades-pultegroup-on-f"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"7/30/2013 8:43:00 AM"|"UPDATE: Goldman Sachs Upgrades Perrigo on Multiple Positive Factors"|"In a report published Tuesday, Goldman Sachs analyst Jami Rubin upgraded Perrigo (NYSE: PRGO <http://www.benzinga.com/stock/prgo#NYSE> ) from Sell to Neutral, and raised the price target from $122.00 to $132.00.

In the report, Goldman Sachs noted, ìWe upgrade PRGO to Neutral from Sell. We are more favorable on the company's future capital ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/ILckhqgjBmw> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/ILckhqgjBmw/update-goldman-sachs-upgrades-perrigo-on-multiple-positi> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/upgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a report published Tuesday, Goldman Sachs analyst Jami Rubin upgraded¬†<strong>Perrigo</strong>¬†(NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/prgo#NYSE"">PRGO</a>) from Sell to Neutral, and raised the price target from $122.00 to $132.00.</p> <p>  In the report, Goldman Sachs noted, ‚ÄúWe upgrade PRGO to Neutral from Sell. We are more favorable on the company&#039;s future capital ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/ILckhqgjBmw"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/ILckhqgjBmw/update-goldman-sachs-upgrades-perrigo-on-multiple-positi"">View article...</A></p></body></html>"
|"Garet Zatz"||"7/30/2013 8:20:55 AM"|"UPDATE: Topeka Capital Markets Upgrades Aeropostale on 'Ready to Rock Fashion'"|"In a report published on Tuesday, Topeka Capital Markets analyst Dorothy S. Lakner upgraded Aeropostale (NYSE: ARO <http://www.benzinga.com/stock/aro#NYSE> ) from Hold to Buy and raised the price target on the company from $15 to $18.

In the report, Topeka Capital Markets ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/QC6iKEyanyg> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/QC6iKEyanyg/update-topeka-capital-markets-upgrades-aeropostale-on-re> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/upgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a report published on Tuesday, Topeka Capital Markets analyst Dorothy S. Lakner upgraded <strong>Aeropostale</strong>¬†(NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/aro#NYSE"">ARO</a>) from Hold to Buy and raised the price target on the company from $15 to $18.</p> <p>  In the report, Topeka Capital Markets ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/QC6iKEyanyg"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/QC6iKEyanyg/update-topeka-capital-markets-upgrades-aeropostale-on-re"">View article...</A></p></body></html>"
|"Lisa Levin"||"7/30/2013 7:56:35 AM"|"Benzinga's Top Upgrades"|"Analysts at Goldman Sachs upgraded Perrigo Company (NASDAQ: PRGO <http://www.benzinga.com/stock/prgo#NASDAQ> ) from ìsellî to ìneutral.î The target price for Perrigo has been raised from $122 to $135. Perrigo's shares closed at $125.17 on Friday.

Analysts at Topeka Capital upgraded Aeropostale ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/J9kgk-J4Vpc> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/J9kgk-J4Vpc/benzingas-top-upgrades> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/upgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>Analysts at Goldman Sachs upgraded Perrigo Company (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/prgo#NASDAQ"">PRGO</a>) from ‚Äúsell‚Äù to ‚Äúneutral.‚Äù The target price for Perrigo has been raised from $122 to $135. Perrigo&#039;s shares closed at $125.17 on Friday.</p>  <p>Analysts at Topeka Capital upgraded Aeropostale ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/J9kgk-J4Vpc"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/J9kgk-J4Vpc/benzingas-top-upgrades"">View article...</A></p></body></html>"
|"Garet Zatz"||"7/30/2013 7:52:55 AM"|"UPDATE: Bank of America Upgrades Bankrate on 'Room to Climb off the Bottom'"|"In a report published on Tuesday, Bank of America analyst Justin Post upgraded Bankrate (NYSE: RATE <http://www.benzinga.com/stock/rate#NYSE> ) from Neutral to Buy and raised the price objective on the company from $15 to $22.

In the report, Bank of America ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/oR0e52E0sUk> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/oR0e52E0sUk/update-bank-of-america-upgrades-bankrate-on-room-to-clim> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/upgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a report published on Tuesday, Bank of America analyst Justin Post upgraded <strong>Bankrate</strong> (NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/rate#NYSE"">RATE</a>) from Neutral to Buy and raised the price objective on the company from $15 to $22.</p> <p>  In the report, Bank of America ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/oR0e52E0sUk"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/oR0e52E0sUk/update-bank-of-america-upgrades-bankrate-on-room-to-clim"">View article...</A></p></body></html>"
|"Garet Zatz"||"7/29/2013 5:16:05 PM"|"UPDATE: Bank of America Upgrades Perrigo on Financial Engineering Deal Adding Value"|"In a report published on Monday, Bank of America analyst Gregg Gilbert upgraded Perrigo (NYSE: PRGO <http://www.benzinga.com/stock/prgo#NYSE> ) from Underperform to Neutral and raised the price target on the company from $116 to $133.

In the report, ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/TN7RqeaHJJU> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/TN7RqeaHJJU/update-bank-of-america-upgrades-perrigo-on-financial-eng> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/upgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>In a report published on Monday, Bank of America analyst Gregg Gilbert upgraded <strong>Perrigo</strong> (NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/prgo#NYSE"">PRGO</a>) from Underperform to Neutral and raised the price target on the company from $116 to $133.</p>  <p>In the report, ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/TN7RqeaHJJU"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/TN7RqeaHJJU/update-bank-of-america-upgrades-perrigo-on-financial-eng"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"7/29/2013 10:57:40 AM"|"UPDATE: Credit Suisse Upgrades Hormel Foods Ahead of Earnings Call"|"In a report published Monday, Credit Suisse analyst Robert Moskow upgraded Hormel Foods (NYSE: HRL <http://www.benzinga.com/stock/hrl#NYSE> ) from Neutral to Outperform, and raised the price target from $39.00 to $46.00.

In the report, Credit Suisse noted, ìRelative call more so than a call about absolute upside. This ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/aPx1Kz1SyF8> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/aPx1Kz1SyF8/update-credit-suisse-upgrades-hormel-foods-ahead-of-earn> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/upgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a report published Monday, Credit Suisse analyst Robert Moskow upgraded¬†<strong>Hormel Foods</strong>¬†(NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/hrl#NYSE"">HRL</a>) from Neutral to Outperform, and raised the price target from $39.00 to $46.00.</p> <p>  In the report, Credit Suisse noted, ‚ÄúRelative call more so than a call about absolute upside. This ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/aPx1Kz1SyF8"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/aPx1Kz1SyF8/update-credit-suisse-upgrades-hormel-foods-ahead-of-earn"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"7/29/2013 8:52:53 AM"|"UPDATE: Sterne Agee Upgrades Quality Systems on Meaningful Improvement Forecast"|"In a report published Monday, Sterne Agee analyst Greg T. Bolan upgraded Quality Systems (NASDAQ: QSII <http://www.benzinga.com/stock/qsii#NASDAQ> ) from Neutral to Buy, and raised the price target from $24.00 to $28.00.

In the report, Sterne ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/13Zvc22oJ_A> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/13Zvc22oJ_A/update-sterne-agee-upgrades-quality-systems-on-meaningfu> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/upgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a report published Monday, Sterne Agee analyst Greg T. Bolan upgraded¬†<strong>Quality Systems</strong> (NASDAQ: <a class=""ticker"" href=""http://www.benzinga.com/stock/qsii#NASDAQ"">QSII</a>) from Neutral to Buy, and raised the price target from $24.00 to $28.00.</p> <p>  In the report, Sterne ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/13Zvc22oJ_A"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/13Zvc22oJ_A/update-sterne-agee-upgrades-quality-systems-on-meaningfu"">View article...</A></p></body></html>"
|"Dwight Einhorn"||"7/29/2013 8:45:46 AM"|"UPDATE: Wunderlich Securities Upgrades WESCO on Reduced Downside"|"In a report published Monday, Wunderlich Securities analyst Brent D. Rakers upgraded WESCO International (NYSE: WCC <http://www.benzinga.com/stock/wcc#NYSE> ) from Hold to Buy, and raised the price target from $79.00 to $94.00.

In the report, Wunderlich Securities noted, ìWe are raising our rating on Wesco (WCC) to Buy. We believe estimates offer ...

 <http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/WHMrOu-7UMU> 


View article... <http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/WHMrOu-7UMU/update-wunderlich-securities-upgrades-wesco-on-reduced-d> 

"|"<html><head><base href=""http://feeds.benzinga.com/benzinga/analyst-ratings/upgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><p>  In a report published Monday, Wunderlich Securities analyst Brent D. Rakers upgraded¬†<strong>WESCO International</strong> (NYSE: <a class=""ticker"" href=""http://www.benzinga.com/stock/wcc#NYSE"">WCC</a>) from Hold to Buy, and raised the price target from $79.00 to $94.00.</p> <p>  In the report, Wunderlich Securities noted, ‚ÄúWe are raising our rating on Wesco (WCC) to Buy. We believe estimates offer ...</p><img src=""http://feeds.feedburner.com/~r/benzinga/analyst-ratings/upgrades/~4/WHMrOu-7UMU"" height=""1"" width=""1""/></td></tr></table><p><BR/><A HREF=""http://feeds.benzinga.com/~r/benzinga/analyst-ratings/upgrades/~3/WHMrOu-7UMU/update-wunderlich-securities-upgrades-wesco-on-reduced-d"">View article...</A></p></body></html>"
