"From (address)"|"From (display)"|"Sent on behalf of (address)"|"Date Sent"|"Subject"|"Body"|"Body HTML"
|"Briefing.com - Upgrades Downgrades Calendar"||"6/18/2014 3:18:04 PM"|"ANET: ISI Group reits Strong Buy"|"ISI Group issues rating change for ANET	


View article... <http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618054803> 

"|"<html><head><base href=""http://rss.briefing.com/Investor/RSS/UpgradesDowngrades.xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>ISI Group issues rating change for ANET</td></tr></table><p><BR/><A HREF=""http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618054803"">View article...</A></p></body></html>"
|"Briefing.com - Upgrades Downgrades Calendar"||"6/18/2014 3:22:05 PM"|"GPS: Canaccord Genuity reits Buy"|"Canaccord Genuity issues rating change for GPS	


View article... <http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618055204> 

"|"<html><head><base href=""http://rss.briefing.com/Investor/RSS/UpgradesDowngrades.xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Canaccord Genuity issues rating change for GPS</td></tr></table><p><BR/><A HREF=""http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618055204"">View article...</A></p></body></html>"
|"Briefing.com - Upgrades Downgrades Calendar"||"6/18/2014 3:22:41 PM"|"ALLE: Imperial Capital reits In-line"|"Imperial Capital issues rating change for ALLE	


View article... <http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618055241> 

"|"<html><head><base href=""http://rss.briefing.com/Investor/RSS/UpgradesDowngrades.xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Imperial Capital issues rating change for ALLE</td></tr></table><p><BR/><A HREF=""http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618055241"">View article...</A></p></body></html>"
|"Briefing.com - Upgrades Downgrades Calendar"||"6/18/2014 3:34:16 PM"|"ADBE: FBR Capital reits Mkt Perform"|"FBR Capital issues rating change for ADBE	


View article... <http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618055318> 

"|"<html><head><base href=""http://rss.briefing.com/Investor/RSS/UpgradesDowngrades.xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>FBR Capital issues rating change for ADBE</td></tr></table><p><BR/><A HREF=""http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618055318"">View article...</A></p></body></html>"
|"Briefing.com - Upgrades Downgrades Calendar"||"6/18/2014 3:54:11 PM"|"CLDT: FBR Capital reits Outperform"|"FBR Capital issues rating change for CLDT	


View article... <http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618062411> 

"|"<html><head><base href=""http://rss.briefing.com/Investor/RSS/UpgradesDowngrades.xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>FBR Capital issues rating change for CLDT</td></tr></table><p><BR/><A HREF=""http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618062411"">View article...</A></p></body></html>"
|"Briefing.com - Upgrades Downgrades Calendar"||"6/18/2014 4:08:45 PM"|"MEET: Wunderlich starts at Buy"|"Wunderlich issues rating change for MEET	


View article... <http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618063845> 

"|"<html><head><base href=""http://rss.briefing.com/Investor/RSS/UpgradesDowngrades.xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Wunderlich issues rating change for MEET</td></tr></table><p><BR/><A HREF=""http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618063845"">View article...</A></p></body></html>"
|"Briefing.com - Upgrades Downgrades Calendar"||"6/18/2014 4:10:18 PM"|"IRWD: WallachBeth starts at Hold"|"WallachBeth issues rating change for IRWD	


View article... <http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618064018> 

"|"<html><head><base href=""http://rss.briefing.com/Investor/RSS/UpgradesDowngrades.xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>WallachBeth issues rating change for IRWD</td></tr></table><p><BR/><A HREF=""http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618064018"">View article...</A></p></body></html>"
|"Briefing.com - Upgrades Downgrades Calendar"||"6/18/2014 4:25:41 PM"|"ECYT: RBC Capital Mkts reits Outperform"|"RBC Capital Mkts issues rating change for ECYT	


View article... <http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618065541> 

"|"<html><head><base href=""http://rss.briefing.com/Investor/RSS/UpgradesDowngrades.xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>RBC Capital Mkts issues rating change for ECYT</td></tr></table><p><BR/><A HREF=""http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618065541"">View article...</A></p></body></html>"
|"Briefing.com - Upgrades Downgrades Calendar"||"6/18/2014 4:32:07 PM"|"ADBE: RBC Capital Mkts reits Outperform"|"RBC Capital Mkts issues rating change for ADBE	


View article... <http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618070207> 

"|"<html><head><base href=""http://rss.briefing.com/Investor/RSS/UpgradesDowngrades.xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>RBC Capital Mkts issues rating change for ADBE</td></tr></table><p><BR/><A HREF=""http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618070207"">View article...</A></p></body></html>"
|"Briefing.com - Upgrades Downgrades Calendar"||"6/18/2014 4:41:21 PM"|"AEGN: Stifel reits Buy"|"Stifel issues rating change for AEGN	


View article... <http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618071121> 

"|"<html><head><base href=""http://rss.briefing.com/Investor/RSS/UpgradesDowngrades.xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Stifel issues rating change for AEGN</td></tr></table><p><BR/><A HREF=""http://www.briefing.com/investor/popuppages/articlepopup.aspx?articleId=UD20140618071121"">View article...</A></p></body></html>"
