"From (address)"|"From (display)"|"Sent on behalf of (address)"|"Date Sent"|"Subject"|"Body"|"Body HTML"
|"Wunderlich"||"8/28/2014 5:55:00 PM"|"Guess?, Inc. (NYSE: GES) rated to Buy with price target $27 by Wunderlich"|"Wunderlich rated Guess?, Inc. (NYSE: GES) to Buy with price target $27. 
Rated Date: 8/28/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143414> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Wunderlich rated Guess?, Inc. (NYSE: GES) to Buy with price target $27. <br />Rated Date: 8/28/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143414"">View article...</A></p></body></html>"
|"Canaccord Genuity"||"8/28/2014 5:55:00 PM"|"Gordmans Stores, Inc. (NASDAQ: GMAN) rated to Buy with price target $9 by Canaccord Genuity"|"Canaccord Genuity rated Gordmans Stores, Inc. (NASDAQ: GMAN) to Buy with price target $9
Rated Date: 8/28/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143413> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Canaccord Genuity rated Gordmans Stores, Inc. (NASDAQ: GMAN) to Buy with price target $9<br />Rated Date: 8/28/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143413"">View article...</A></p></body></html>"
|"Topeka Capital Markets"||"8/28/2014 5:55:00 PM"|"Omnicell, Inc. (NASDAQ: OMCL) rated to Buy with price target $31 by Topeka Capital Markets"|"Topeka Capital Markets rated Omnicell, Inc. (NASDAQ: OMCL) to Buy with price target $31. 
Rated Date: 8/28/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143412> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Topeka Capital Markets rated Omnicell, Inc. (NASDAQ: OMCL) to Buy with price target $31. <br />Rated Date: 8/28/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143412"">View article...</A></p></body></html>"
|"Stifel"||"8/28/2014 5:55:00 PM"|"Symantec Corporation (NASDAQ: SYMC) rated to Hold  by Stifel"|"Stifel rated Symantec Corporation (NASDAQ: SYMC) to Hold
Rated Date: 8/28/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143407> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Stifel rated Symantec Corporation (NASDAQ: SYMC) to Hold<br />Rated Date: 8/28/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143407"">View article...</A></p></body></html>"
|"Compass Point"||"8/28/2014 5:55:00 PM"|"Allstate Corporation  (NYSE: ALL) rated to Neutral with price target $63 by Compass Point"|"Compass Point rated Allstate Corporation (NYSE: ALL) to Neutral with price target $63. 
Rated Date: 8/28/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143406> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Compass Point rated Allstate Corporation  (NYSE: ALL) to Neutral with price target $63. <br />Rated Date: 8/28/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143406"">View article...</A></p></body></html>"
|"Compass Point"||"8/28/2014 5:55:00 PM"|"Mercury General Corporation (NYSE: MCY) rated to Neutral with price target $47 by Compass Point"|"Compass Point rated Mercury General Corporation (NYSE: MCY) to Neutral with price target $47
Rated Date: 8/28/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143405> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Compass Point rated Mercury General Corporation (NYSE: MCY) to Neutral with price target $47<br />Rated Date: 8/28/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143405"">View article...</A></p></body></html>"
|"Compass Point"||"8/28/2014 5:55:00 PM"|"Safety Insurance Group, Inc. (NASDAQ: SAFT) rated to Buy with price target $63 by Compass Point"|"Compass Point rated Safety Insurance Group, Inc. (NASDAQ: SAFT) to Buy with price target $63. 
Rated Date: 8/28/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143404> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Compass Point rated Safety Insurance Group, Inc. (NASDAQ: SAFT) to Buy with price target $63. <br />Rated Date: 8/28/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143404"">View article...</A></p></body></html>"
|"Stifel"||"8/28/2014 5:55:00 PM"|"Fireeye Inc. (NASDAQ: FEYE) rated to Buy with price target $45 by Stifel"|"Stifel rated Fireeye Inc. (NASDAQ: FEYE) to Buy with price target $45
Rated Date: 8/28/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143403> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Stifel rated Fireeye Inc. (NASDAQ: FEYE) to Buy with price target $45<br />Rated Date: 8/28/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143403"">View article...</A></p></body></html>"
|"Oppenheimer"||"8/28/2014 5:55:00 PM"|"Igi, Inc. (AMEX: IG) rated to Outperform with price target $8 by Oppenheimer"|"Oppenheimer rated Igi, Inc. (AMEX: IG) to Outperform with price target $8. 
Rated Date: 8/28/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143402> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Oppenheimer rated Igi, Inc. (AMEX: IG) to Outperform with price target $8. <br />Rated Date: 8/28/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143402"">View article...</A></p></body></html>"
|"Stifel"||"8/28/2014 5:55:00 PM"|"Cott Corporation (NYSE: COT) rated to Buy with price target $10 by Stifel"|"Stifel rated Cott Corporation (NYSE: COT) to Buy with price target $10
Rated Date: 8/28/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143399> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayNewCoverages?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Stifel rated Cott Corporation (NYSE: COT) to Buy with price target $10<br />Rated Date: 8/28/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143399"">View article...</A></p></body></html>"
