"From (address)"|"From (display)"|"Sent on behalf of (address)"|"Date Sent"|"Subject"|"Body"|"Body HTML"
|"Jefferies"||"3/24/2014 8:25:00 AM"|"Yelp Inc Class A (YELP) rated Buy  with price target $100 by Jefferies"|"Jefferies rated Buy Yelp Inc Class A (NYSE: YELP) on 03/24/2014. Previously Jefferies rated Buy Yelp Inc Class A (NYSE: YELP) on 09/13/2012., when the stock price was $25.52. Since then, Yelp Inc Class A has gained 147.10% as of 04/15/2014's recent price of $63.06. If you would have followed the previous Jefferies's recommendation on YELP, you would have gained 147.1% of your investment in 579 days.
Rated Date: 3/24/2014 8:25:00 AM
 <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=UlrkqAN_SDI:bjDvpURFwX0:yIl2AUoC8zA>   <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=UlrkqAN_SDI:bjDvpURFwX0:V_sGLiPBpWU>  


View article... <http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/UlrkqAN_SDI/Gains-Stock-141397-YELP> 

"|"<html><head><base href=""http://feeds.feedburner.com/Gainerstoday-Recent-Analyst-Stocks-Recommendations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Jefferies rated Buy Yelp Inc Class A (NYSE: YELP) on 03/24/2014. Previously Jefferies rated Buy Yelp Inc Class A (NYSE: YELP) on 09/13/2012., when the stock price was $25.52. Since then, Yelp Inc Class A has gained 147.10% as of 04/15/2014's recent price of $63.06.</br> If you would have followed the previous Jefferies's recommendation on YELP, you would have gained 147.1% of your investment in 579 days.<br />Rated Date: 3/24/2014 8:25:00 AM<div class=""feedflare""> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=UlrkqAN_SDI:bjDvpURFwX0:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=UlrkqAN_SDI:bjDvpURFwX0:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?i=UlrkqAN_SDI:bjDvpURFwX0:V_sGLiPBpWU"" border=""0""></img></a> </div></td></tr></table><p><BR/><A HREF=""http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/UlrkqAN_SDI/Gains-Stock-141397-YELP"">View article...</A></p></body></html>"
|"Leerink Swann "||"3/24/2014 8:25:00 AM"|"Wellpoint Health Networks Inc. (WLP) rated Outperform  with price target $120 by Leerink Swann "|"Leerink Swann rated Outperform Wellpoint Health Networks Inc. (NYSE: WLP) on 03/24/2014. Previously Leerink Swann rated Outperform Wellpoint Health Networks Inc. (NYSE: WLP) on 05/27/2009., when the stock price was $46.32. Since then, Wellpoint Health Networks Inc. has gained 108.27% as of 04/15/2014's recent price of $96.47. If you would have followed the previous Leerink Swann 's recommendation on WLP, you would have gained 108.26% of your investment in 1784 days.
Rated Date: 3/24/2014 8:25:00 AM
 <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=iitvIB0bjW4:mpUBdB74aGk:yIl2AUoC8zA>   <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=iitvIB0bjW4:mpUBdB74aGk:V_sGLiPBpWU>  


View article... <http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/iitvIB0bjW4/Gains-Stock-141382-WLP> 

"|"<html><head><base href=""http://feeds.feedburner.com/Gainerstoday-Recent-Analyst-Stocks-Recommendations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Leerink Swann  rated Outperform Wellpoint Health Networks Inc. (NYSE: WLP) on 03/24/2014. Previously Leerink Swann  rated Outperform Wellpoint Health Networks Inc. (NYSE: WLP) on 05/27/2009., when the stock price was $46.32. Since then, Wellpoint Health Networks Inc. has gained 108.27% as of 04/15/2014's recent price of $96.47.</br> If you would have followed the previous Leerink Swann 's recommendation on WLP, you would have gained 108.26% of your investment in 1784 days.<br />Rated Date: 3/24/2014 8:25:00 AM<div class=""feedflare""> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=iitvIB0bjW4:mpUBdB74aGk:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=iitvIB0bjW4:mpUBdB74aGk:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?i=iitvIB0bjW4:mpUBdB74aGk:V_sGLiPBpWU"" border=""0""></img></a> </div></td></tr></table><p><BR/><A HREF=""http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/iitvIB0bjW4/Gains-Stock-141382-WLP"">View article...</A></p></body></html>"
|"Deutsche Bank"||"3/24/2014 1:25:00 PM"|"Qualcomm Incorporated (QCOM) rated Buy  with price target $86 by Deutsche Bank"|"Deutsche Bank rated Buy Qualcomm Incorporated (NASDAQ: QCOM) on 03/24/2014. Previously Deutsche Bank rated Buy Qualcomm Incorporated (NASDAQ: QCOM) on 03/30/2010., when the stock price was $42.27. Since then, Qualcomm Incorporated has gained 88.05% as of 04/15/2014's recent price of $79.49. If you would have followed the previous Deutsche Bank's recommendation on QCOM, you would have gained 88.05% of your investment in 1477 days.
Rated Date: 3/24/2014 1:25:00 PM
 <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=VPOMnFvPMOA:RMSY2V4K7zI:yIl2AUoC8zA>   <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=VPOMnFvPMOA:RMSY2V4K7zI:V_sGLiPBpWU>  


View article... <http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/VPOMnFvPMOA/Gains-Stock-141439-QCOM> 

"|"<html><head><base href=""http://feeds.feedburner.com/Gainerstoday-Recent-Analyst-Stocks-Recommendations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Deutsche Bank rated Buy Qualcomm Incorporated (NASDAQ: QCOM) on 03/24/2014. Previously Deutsche Bank rated Buy Qualcomm Incorporated (NASDAQ: QCOM) on 03/30/2010., when the stock price was $42.27. Since then, Qualcomm Incorporated has gained 88.05% as of 04/15/2014's recent price of $79.49.</br> If you would have followed the previous Deutsche Bank's recommendation on QCOM, you would have gained 88.05% of your investment in 1477 days.<br />Rated Date: 3/24/2014 1:25:00 PM<div class=""feedflare""> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=VPOMnFvPMOA:RMSY2V4K7zI:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=VPOMnFvPMOA:RMSY2V4K7zI:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?i=VPOMnFvPMOA:RMSY2V4K7zI:V_sGLiPBpWU"" border=""0""></img></a> </div></td></tr></table><p><BR/><A HREF=""http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/VPOMnFvPMOA/Gains-Stock-141439-QCOM"">View article...</A></p></body></html>"
|"Atlantic Equities"||"3/24/2014 8:25:00 AM"|"Bank Of America Corporation (BAC) downgraded to Neutral  by Atlantic Equities"|"Atlantic Equities rated Neutral Bank Of America Corporation (NYSE: BAC) on 03/24/2014. Previously Atlantic Equities rated Overweight Bank Of America Corporation (NYSE: BAC) on 10/24/2012., when the stock price was $9.45. Since then, Bank Of America Corporation has gained 83.81% as of 03/24/2014's recent price of $17.37. If you would have followed the previous Atlantic Equities's recommendation on BAC, you would have gained 83.8% of your investment in 516 days.
Rated Date: 3/24/2014 8:25:00 AM
 <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=dxr3IVd_gYE:7n3zYp9_5Wg:yIl2AUoC8zA>   <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=dxr3IVd_gYE:7n3zYp9_5Wg:V_sGLiPBpWU>  


View article... <http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/dxr3IVd_gYE/Gains-Stock-141404-BAC> 

"|"<html><head><base href=""http://feeds.feedburner.com/Gainerstoday-Recent-Analyst-Stocks-Recommendations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Atlantic Equities rated Neutral Bank Of America Corporation (NYSE: BAC) on 03/24/2014. Previously Atlantic Equities rated Overweight Bank Of America Corporation (NYSE: BAC) on 10/24/2012., when the stock price was $9.45. Since then, Bank Of America Corporation has gained 83.81% as of 03/24/2014's recent price of $17.37.</br> If you would have followed the previous Atlantic Equities's recommendation on BAC, you would have gained 83.8% of your investment in 516 days.<br />Rated Date: 3/24/2014 8:25:00 AM<div class=""feedflare""> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=dxr3IVd_gYE:7n3zYp9_5Wg:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=dxr3IVd_gYE:7n3zYp9_5Wg:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?i=dxr3IVd_gYE:7n3zYp9_5Wg:V_sGLiPBpWU"" border=""0""></img></a> </div></td></tr></table><p><BR/><A HREF=""http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/dxr3IVd_gYE/Gains-Stock-141404-BAC"">View article...</A></p></body></html>"
|"Jefferies"||"3/24/2014 8:25:00 AM"|"Exelis Inc (XLS) downgraded to Hold  by Jefferies"|"Jefferies rated Hold Exelis Inc (NYSE: XLS) on 03/24/2014. Previously Jefferies rated Buy Exelis Inc (NYSE: XLS) on 10/01/2012., when the stock price was $10.47. Since then, Exelis Inc has gained 82.90% as of 03/24/2014's recent price of $19.15. If you would have followed the previous Jefferies's recommendation on XLS, you would have gained 82.9% of your investment in 539 days.
Rated Date: 3/24/2014 8:25:00 AM
 <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=N5gsEKpgLjc:FEerC5grwP4:yIl2AUoC8zA>   <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=N5gsEKpgLjc:FEerC5grwP4:V_sGLiPBpWU>  


View article... <http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/N5gsEKpgLjc/Gains-Stock-141392-XLS> 

"|"<html><head><base href=""http://feeds.feedburner.com/Gainerstoday-Recent-Analyst-Stocks-Recommendations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Jefferies rated Hold Exelis Inc (NYSE: XLS) on 03/24/2014. Previously Jefferies rated Buy Exelis Inc (NYSE: XLS) on 10/01/2012., when the stock price was $10.47. Since then, Exelis Inc has gained 82.90% as of 03/24/2014's recent price of $19.15.</br> If you would have followed the previous Jefferies's recommendation on XLS, you would have gained 82.9% of your investment in 539 days.<br />Rated Date: 3/24/2014 8:25:00 AM<div class=""feedflare""> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=N5gsEKpgLjc:FEerC5grwP4:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=N5gsEKpgLjc:FEerC5grwP4:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?i=N5gsEKpgLjc:FEerC5grwP4:V_sGLiPBpWU"" border=""0""></img></a> </div></td></tr></table><p><BR/><A HREF=""http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/N5gsEKpgLjc/Gains-Stock-141392-XLS"">View article...</A></p></body></html>"
|"Piper Jaffray"||"3/24/2014 8:25:00 AM"|"Applied Optoelectronics Inc. (AAOI) rated Overweight  with price target $32 by Piper Jaffray"|"Piper Jaffray rated Overweight Applied Optoelectronics Inc. (NASDAQ: AAOI) on 03/24/2014. Previously Piper Jaffray rated Overweight Applied Optoelectronics Inc. (NASDAQ: AAOI) on 10/21/2013., when the stock price was $12.24. Since then, Applied Optoelectronics Inc. has gained 75.74% as of 04/15/2014's recent price of $21.51. If you would have followed the previous Piper Jaffray's recommendation on AAOI, you would have gained 75.73% of your investment in 176 days.
Rated Date: 3/24/2014 8:25:00 AM
 <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=WD9u6W23sI4:3Ag40uYue4k:yIl2AUoC8zA>   <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=WD9u6W23sI4:3Ag40uYue4k:V_sGLiPBpWU>  


View article... <http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/WD9u6W23sI4/Gains-Stock-141371-AAOI> 

"|"<html><head><base href=""http://feeds.feedburner.com/Gainerstoday-Recent-Analyst-Stocks-Recommendations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Piper Jaffray rated Overweight Applied Optoelectronics Inc. (NASDAQ: AAOI) on 03/24/2014. Previously Piper Jaffray rated Overweight Applied Optoelectronics Inc. (NASDAQ: AAOI) on 10/21/2013., when the stock price was $12.24. Since then, Applied Optoelectronics Inc. has gained 75.74% as of 04/15/2014's recent price of $21.51.</br> If you would have followed the previous Piper Jaffray's recommendation on AAOI, you would have gained 75.73% of your investment in 176 days.<br />Rated Date: 3/24/2014 8:25:00 AM<div class=""feedflare""> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=WD9u6W23sI4:3Ag40uYue4k:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=WD9u6W23sI4:3Ag40uYue4k:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?i=WD9u6W23sI4:3Ag40uYue4k:V_sGLiPBpWU"" border=""0""></img></a> </div></td></tr></table><p><BR/><A HREF=""http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/WD9u6W23sI4/Gains-Stock-141371-AAOI"">View article...</A></p></body></html>"
|"RBC Capital Mkts"||"3/24/2014 8:25:00 AM"|"Forward Air Corporation (FWRD) rated Outperform  with price target $55 by RBC Capital Mkts"|"RBC Capital Mkts rated Outperform Forward Air Corporation (NASDAQ: FWRD) on 03/24/2014. Previously RBC Capital Mkts rated Outperform Forward Air Corporation (NASDAQ: FWRD) on 06/09/2010., when the stock price was $26.95. Since then, Forward Air Corporation has gained 67.98% as of 04/15/2014's recent price of $45.27. If you would have followed the previous RBC Capital Mkts's recommendation on FWRD, you would have gained 67.97% of your investment in 1406 days.
Rated Date: 3/24/2014 8:25:00 AM
 <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=l0oWefIi39E:C7oYYGnopcM:yIl2AUoC8zA>   <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=l0oWefIi39E:C7oYYGnopcM:V_sGLiPBpWU>  


View article... <http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/l0oWefIi39E/Gains-Stock-141378-FWRD> 

"|"<html><head><base href=""http://feeds.feedburner.com/Gainerstoday-Recent-Analyst-Stocks-Recommendations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>RBC Capital Mkts rated Outperform Forward Air Corporation (NASDAQ: FWRD) on 03/24/2014. Previously RBC Capital Mkts rated Outperform Forward Air Corporation (NASDAQ: FWRD) on 06/09/2010., when the stock price was $26.95. Since then, Forward Air Corporation has gained 67.98% as of 04/15/2014's recent price of $45.27.</br> If you would have followed the previous RBC Capital Mkts's recommendation on FWRD, you would have gained 67.97% of your investment in 1406 days.<br />Rated Date: 3/24/2014 8:25:00 AM<div class=""feedflare""> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=l0oWefIi39E:C7oYYGnopcM:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=l0oWefIi39E:C7oYYGnopcM:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?i=l0oWefIi39E:C7oYYGnopcM:V_sGLiPBpWU"" border=""0""></img></a> </div></td></tr></table><p><BR/><A HREF=""http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/l0oWefIi39E/Gains-Stock-141378-FWRD"">View article...</A></p></body></html>"
|"Barclays"||"3/24/2014 12:25:00 PM"|"Buffalo Wild Wings, Inc. (BWLD) rated Overweight  with price target $165 by Barclays"|"Barclays rated Overweight Buffalo Wild Wings, Inc. (NASDAQ: BWLD) on 03/24/2014. Previously Barclays rated Overweight Buffalo Wild Wings, Inc. (NASDAQ: BWLD) on 04/16/2012., when the stock price was $84.65. Since then, Buffalo Wild Wings, Inc. has gained 67.69% as of 04/15/2014's recent price of $141.95. If you would have followed the previous Barclays's recommendation on BWLD, you would have gained 67.69% of your investment in 729 days.
Rated Date: 3/24/2014 12:25:00 PM
 <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=UDxxOFNLgXQ:H6_ow79jnJw:yIl2AUoC8zA>   <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=UDxxOFNLgXQ:H6_ow79jnJw:V_sGLiPBpWU>  


View article... <http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/UDxxOFNLgXQ/Gains-Stock-141437-BWLD> 

"|"<html><head><base href=""http://feeds.feedburner.com/Gainerstoday-Recent-Analyst-Stocks-Recommendations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Barclays rated Overweight Buffalo Wild Wings, Inc. (NASDAQ: BWLD) on 03/24/2014. Previously Barclays rated Overweight Buffalo Wild Wings, Inc. (NASDAQ: BWLD) on 04/16/2012., when the stock price was $84.65. Since then, Buffalo Wild Wings, Inc. has gained 67.69% as of 04/15/2014's recent price of $141.95.</br> If you would have followed the previous Barclays's recommendation on BWLD, you would have gained 67.69% of your investment in 729 days.<br />Rated Date: 3/24/2014 12:25:00 PM<div class=""feedflare""> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=UDxxOFNLgXQ:H6_ow79jnJw:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=UDxxOFNLgXQ:H6_ow79jnJw:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?i=UDxxOFNLgXQ:H6_ow79jnJw:V_sGLiPBpWU"" border=""0""></img></a> </div></td></tr></table><p><BR/><A HREF=""http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/UDxxOFNLgXQ/Gains-Stock-141437-BWLD"">View article...</A></p></body></html>"
|"Compass Point"||"3/24/2014 9:25:00 AM"|"Slm Corporation (SLM) rated Buy  with price target $30 by Compass Point"|"Compass Point rated Buy Slm Corporation (NASDAQ: SLM) on 03/24/2014. Previously Compass Point rated Buy Slm Corporation (NASDAQ: SLM) on 10/11/2012., when the stock price was $16.87. Since then, Slm Corporation has gained 47.36% as of 04/15/2014's recent price of $24.86. If you would have followed the previous Compass Point's recommendation on SLM, you would have gained 47.36% of your investment in 551 days.
Rated Date: 3/24/2014 9:25:00 AM
 <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=KJLtU2VWH0A:2A06fVLJQfA:yIl2AUoC8zA>   <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=KJLtU2VWH0A:2A06fVLJQfA:V_sGLiPBpWU>  


View article... <http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/KJLtU2VWH0A/Gains-Stock-141423-SLM> 

"|"<html><head><base href=""http://feeds.feedburner.com/Gainerstoday-Recent-Analyst-Stocks-Recommendations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Compass Point rated Buy Slm Corporation (NASDAQ: SLM) on 03/24/2014. Previously Compass Point rated Buy Slm Corporation (NASDAQ: SLM) on 10/11/2012., when the stock price was $16.87. Since then, Slm Corporation has gained 47.36% as of 04/15/2014's recent price of $24.86.</br> If you would have followed the previous Compass Point's recommendation on SLM, you would have gained 47.36% of your investment in 551 days.<br />Rated Date: 3/24/2014 9:25:00 AM<div class=""feedflare""> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=KJLtU2VWH0A:2A06fVLJQfA:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=KJLtU2VWH0A:2A06fVLJQfA:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?i=KJLtU2VWH0A:2A06fVLJQfA:V_sGLiPBpWU"" border=""0""></img></a> </div></td></tr></table><p><BR/><A HREF=""http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/KJLtU2VWH0A/Gains-Stock-141423-SLM"">View article...</A></p></body></html>"
|"Oppenheimer"||"3/24/2014 8:25:00 AM"|"Wellpoint Health Networks Inc. (WLP) rated Outperform  with price target $111 by Oppenheimer"|"Oppenheimer rated Outperform Wellpoint Health Networks Inc. (NYSE: WLP) on 03/24/2014. Previously Oppenheimer rated Outperform Wellpoint Health Networks Inc. (NYSE: WLP) on 03/31/2011., when the stock price was $69.65. Since then, Wellpoint Health Networks Inc. has gained 38.51% as of 04/15/2014's recent price of $96.47. If you would have followed the previous Oppenheimer's recommendation on WLP, you would have gained 38.5% of your investment in 1111 days.
Rated Date: 3/24/2014 8:25:00 AM
 <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=U539askA66o:ssXmgiCi0VE:yIl2AUoC8zA>   <http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=U539askA66o:ssXmgiCi0VE:V_sGLiPBpWU>  


View article... <http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/U539askA66o/Gains-Stock-141376-WLP> 

"|"<html><head><base href=""http://feeds.feedburner.com/Gainerstoday-Recent-Analyst-Stocks-Recommendations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Oppenheimer rated Outperform Wellpoint Health Networks Inc. (NYSE: WLP) on 03/24/2014. Previously Oppenheimer rated Outperform Wellpoint Health Networks Inc. (NYSE: WLP) on 03/31/2011., when the stock price was $69.65. Since then, Wellpoint Health Networks Inc. has gained 38.51% as of 04/15/2014's recent price of $96.47.</br> If you would have followed the previous Oppenheimer's recommendation on WLP, you would have gained 38.5% of your investment in 1111 days.<br />Rated Date: 3/24/2014 8:25:00 AM<div class=""feedflare""> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=U539askA66o:ssXmgiCi0VE:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?a=U539askA66o:ssXmgiCi0VE:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/Gainerstoday-Recent-Analyst-Stocks-Recommendations?i=U539askA66o:ssXmgiCi0VE:V_sGLiPBpWU"" border=""0""></img></a> </div></td></tr></table><p><BR/><A HREF=""http://feedproxy.google.com/~r/Gainerstoday-Recent-Analyst-Stocks-Recommendations/~3/U539askA66o/Gains-Stock-141376-WLP"">View article...</A></p></body></html>"
