"From (address)"|"From (display)"|"Sent on behalf of (address)"|"Date Sent"|"Subject"|"Body"|"Body HTML"
|"Canaccord Genuity"||"8/28/2014 5:55:00 PM"|"21Vianet Group Inc. (NASDAQ: VNET) reiterated to Buy with price target $35 by Canaccord Genuity"|"Canaccord Genuity reiterated 21Vianet Group Inc. (NASDAQ: VNET) to Buy with price target $35. Previously Canaccord Genuity reiterated 21Vianet Group Inc. (NASDAQ: VNET) to Buy with price target $31 on 03/07/2014, when the stock price was $26.14.
Rated Date: 8/28/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143411> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Canaccord Genuity reiterated 21Vianet Group Inc. (NASDAQ: VNET) to Buy with price target $35. Previously Canaccord Genuity reiterated 21Vianet Group Inc. (NASDAQ: VNET) to Buy with price target $31  on 03/07/2014, when the stock price was $26.14.<br />Rated Date: 8/28/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143411"">View article...</A></p></body></html>"
|"Stifel"||"8/28/2014 5:55:00 PM"|"Palo Alto Networks Inc. (NYSE: PANW) reiterated to Buy with price target $100 by Stifel"|"Stifel reiterated Palo Alto Networks Inc. (NYSE: PANW) to Buy with price target $100. Previously, Stifel rated Palo Alto Networks Inc. (NYSE: PANW) to Buy with price target $72 on 01/22/2014, when the stock price was valued at $62.02.
Rated Date: 8/28/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143408> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Stifel reiterated Palo Alto Networks Inc. (NYSE: PANW) to Buy with price target $100. Previously, Stifel rated Palo Alto Networks Inc. (NYSE: PANW) to Buy with price target $72  on 01/22/2014, when the stock price was valued at $62.02.<br />Rated Date: 8/28/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143408"">View article...</A></p></body></html>"
|"Oppenheimer"||"8/28/2014 5:55:00 PM"|"Sungy Mobile Limited (NASDAQ: GOMO) reiterated to Perform with price target $22 by Oppenheimer"|"Oppenheimer reiterated Sungy Mobile Limited (NASDAQ: GOMO) to Perform with price target $22. Previously Oppenheimer rated Outperform with price target $26 Sungy Mobile Limited (NASDAQ: GOMO) on 02/03/2014, when the stock price was $20.53.
Rated Date: 8/28/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-143401> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Oppenheimer reiterated Sungy Mobile Limited (NASDAQ: GOMO) to Perform with price target $22. Previously Oppenheimer rated Outperform with price target $26 Sungy Mobile Limited (NASDAQ: GOMO) on 02/03/2014, when the stock price was $20.53.<br />Rated Date: 8/28/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143401"">View article...</A></p></body></html>"
|"Canaccord Genuity"||"8/26/2014 9:30:00 AM"|"Exact Sciences Corporation (NASDAQ: EXAS) reiterated to Buy with price target $23 by Canaccord Genuity"|"Canaccord Genuity reiterated Exact Sciences Corporation (NASDAQ: EXAS) to Buy with price target $23. Previously Canaccord Genuity rated Buy with price target $15 Exact Sciences Corporation (NASDAQ: EXAS) on 01/06/2012, when the stock price was $8.35. Since then, Exact Sciences Corporation's stock price has gained 157% as of 08/26/2014's recent price of $21.43. If you would have followed the previous Canaccord Genuity's recommendation on EXAS, you would have gained 157% of your investment in 963 days.
Rated Date: 8/26/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143397> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Canaccord Genuity reiterated Exact Sciences Corporation (NASDAQ: EXAS) to Buy with price target $23. Previously Canaccord Genuity rated Buy with price target $15 Exact Sciences Corporation (NASDAQ: EXAS) on 01/06/2012, when the stock price was $8.35. Since then, Exact Sciences Corporation's stock price has  gained 157% as of 08/26/2014's recent price of $21.43.</br> If you would have followed the previous Canaccord Genuity's recommendation on EXAS, you would have gained 157% of your investment in 963 days.<br />Rated Date: 8/26/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143397"">View article...</A></p></body></html>"
|"MKM Partners"||"8/26/2014 9:30:00 AM"|"Avago Tech (NASDAQ: AVGO) reiterated to Buy with price target $84 by MKM Partners"|"
Rated Date: 8/26/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143396> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><br />Rated Date: 8/26/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143396"">View article...</A></p></body></html>"
|"UBS"||"8/26/2014 9:30:00 AM"|"Calpine Corporation (NYSE: CPN) reiterated to Neutral with price target $24 by UBS"|"UBS reiterated Calpine Corporation (NYSE: CPN) to Neutral with price target $24. Previously UBS reiterated Calpine Corporation (NYSE: CPN) to Neutral with price target $22 on 02/19/2014, when the stock price was $20.01.
Rated Date: 8/26/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143395> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>UBS reiterated Calpine Corporation (NYSE: CPN) to Neutral with price target $24. Previously UBS reiterated Calpine Corporation (NYSE: CPN) to Neutral with price target $22  on 02/19/2014, when the stock price was $20.01.<br />Rated Date: 8/26/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143395"">View article...</A></p></body></html>"
|"MKM Partners"||"8/26/2014 9:30:00 AM"|"Dsw Inc. (NYSE: DSW) reiterated to Buy with price target $36 by MKM Partners"|"MKM Partners reiterated Dsw Inc. (NYSE: DSW) to Buy with price target $36. MKM Partners rated Dsw Inc. (NYSE: DSW) to Buy with price target $48 on 03/19/2014, when the price was $37.79. 
Rated Date: 8/26/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143394> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>MKM Partners reiterated Dsw Inc. (NYSE: DSW) to Buy with price target $36. MKM Partners rated Dsw Inc. (NYSE: DSW) to Buy with price target $48  on 03/19/2014, when the price was $37.79. <br />Rated Date: 8/26/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143394"">View article...</A></p></body></html>"
|"Dougherty & Company  "||"8/26/2014 9:30:00 AM"|"Adept Technology, Inc. (NASDAQ: ADEP) reiterated to Buy with price target $12.50 by Dougherty & Company  "|"Dougherty & Company reiterated Adept Technology, Inc. (NASDAQ: ADEP) to Buy with price target $12.50. Previously Dougherty & Company reiterated Adept Technology, Inc. (NASDAQ: ADEP) to Buy on 01/10/2014, when the stock price was $15.00. Since then, Adept Technology, Inc.'s stock price has lost 40% as of 08/26/2014's recent price of $9.01. If you would have followed the previous Dougherty & Company 's recommendation on ADEP, you would have lost 40% of your investment in 228 days.
Rated Date: 8/26/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143387> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Dougherty & Company   reiterated Adept Technology, Inc. (NASDAQ: ADEP) to Buy with price target $12.50. Previously Dougherty & Company   reiterated Adept Technology, Inc. (NASDAQ: ADEP) to Buy   on 01/10/2014, when the stock price was $15.00. Since then, Adept Technology, Inc.'s stock price has  lost 40% as of 08/26/2014's recent price of $9.01.</br> If you would have followed the previous Dougherty & Company  's recommendation on ADEP, you would have lost 40% of your investment in 228 days.<br />Rated Date: 8/26/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143387"">View article...</A></p></body></html>"
|"UBS"||"8/25/2014 9:30:00 AM"|"Analog Devices, Inc. (NASDAQ: ADI) reiterated to Neutral with price target $52 by UBS"|"UBS reiterated Analog Devices, Inc. (NASDAQ: ADI) to Neutral with price target $52. UBS rated Analog Devices, Inc. (NASDAQ: ADI) to Neutral with price target $49 on 02/20/2013, when the price was $46.37. 
Rated Date: 8/25/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143386> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>UBS reiterated Analog Devices, Inc. (NASDAQ: ADI) to Neutral with price target $52. UBS rated Analog Devices, Inc. (NASDAQ: ADI) to Neutral with price target $49  on 02/20/2013, when the price was $46.37. <br />Rated Date: 8/25/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143386"">View article...</A></p></body></html>"
|"UBS"||"8/25/2014 9:30:00 AM"|"Eastman Chemical Company (NYSE: EMN) reiterated to Buy with price target $96 by UBS"|"UBS reiterated Eastman Chemical Company (NYSE: EMN) to Buy with price target $96. Previously UBS rated Buy with price target $92 Eastman Chemical Company (NYSE: EMN) on 12/17/2013, when the stock price was $73.40.
Rated Date: 8/25/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143385> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>UBS reiterated Eastman Chemical Company (NYSE: EMN) to Buy with price target $96. Previously UBS rated Buy with price target $92 Eastman Chemical Company (NYSE: EMN) on 12/17/2013, when the stock price was $73.40.<br />Rated Date: 8/25/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143385"">View article...</A></p></body></html>"
|"UBS"||"8/25/2014 9:30:00 AM"|"Footlocker Inc (NYSE: FL) reiterated to Buy with price target $60 by UBS"|"
Rated Date: 8/25/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143384> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><br />Rated Date: 8/25/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143384"">View article...</A></p></body></html>"
|"Argus"||"8/25/2014 9:30:00 AM"|"Hain Celestial Group (NASDAQ: HAIN) reiterated to Buy with price target $106 by Argus"|"
Rated Date: 8/25/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143383> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><br />Rated Date: 8/25/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143383"">View article...</A></p></body></html>"
|"Deutsche Bank"||"8/25/2014 9:30:00 AM"|"Murphy Oil Corporation (NYSE: MUR) reiterated to Hold with price target $75 by Deutsche Bank"|"
Rated Date: 8/25/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143382> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><br />Rated Date: 8/25/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143382"">View article...</A></p></body></html>"
|"Howard Weil"||"8/25/2014 9:30:00 AM"|"WPX Energy (NYSE: WPX) reiterated to Sector Outperform with price target $32 by Howard Weil"|"Howard Weil reiterated WPX Energy (NYSE: WPX) to Sector Outperform with price target $32. Previously Howard Weil reiterated WPX Energy (NYSE: WPX) to Market Outperform with price target $23 on 09/04/2012, when the stock price was $15.87.
Rated Date: 8/25/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143375> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Howard Weil reiterated WPX Energy (NYSE: WPX) to Sector Outperform with price target $32. Previously Howard Weil reiterated WPX Energy (NYSE: WPX) to Market Outperform with price target $23  on 09/04/2012, when the stock price was $15.87.<br />Rated Date: 8/25/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143375"">View article...</A></p></body></html>"
|"BMO Capital Markets"||"8/22/2014 9:30:00 AM"|"Dct Industrial Trust Inc (NYSE: DCT) reiterated to Market Perform  by BMO Capital Markets"|"
Rated Date: 8/22/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143374> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><br />Rated Date: 8/22/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143374"">View article...</A></p></body></html>"
|"UBS"||"8/28/2014 9:55:00 PM"|"Burger King Worldwide INC (NYSE: BKW) reiterated to Buy with price target $34 by UBS"|"Here is more proof that the UBS rating can guide you in smart investing. UBS reiterated Burger King Worldwide INC (NYSE: BKW) to Buy with price target $34 with today's price of $31.71. UBS rated Burger King Worldwide INC (NYSE: BKW) to Buy with price target $28 on 01/30/2014, when the price was $23.97. Burger King Worldwide INC's stock price gained 32% since then. By following the previous UBS's recommendation on BKW, you would have gained 32% in 210 days.
Rated Date: 8/28/2014 12:25:00 PM	


View article... <http://www.gainerstoday.com/article-143422> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Here is more proof that the UBS rating can guide you in smart investing. UBS reiterated Burger King Worldwide INC (NYSE: BKW) to Buy with price target $34 with today's price of $31.71. UBS rated Burger King Worldwide INC (NYSE: BKW) to Buy with price target $28  on 01/30/2014, when the price was $23.97. Burger King Worldwide INC's stock price gained 32% since then. </br> By following the previous UBS's recommendation on BKW, you would have  gained 32% in 210 days.<br />Rated Date: 8/28/2014 12:25:00 PM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143422"">View article...</A></p></body></html>"
|"UBS"||"8/28/2014 9:55:00 PM"|"DIRECTV (NASDAQ: DTV) reiterated to Neutral with price target $95 by UBS"|"UBS reiterated DIRECTV (NASDAQ: DTV) to Neutral with price target $95. Previously UBS rated Neutral with price target $68 DIRECTV (NASDAQ: DTV) on 12/18/2013, when the stock price was $65.36. Since then, DIRECTV's stock price has gained 32% as of 08/28/2014's recent price of $86.01.
Rated Date: 8/28/2014 12:25:00 PM	


View article... <http://www.gainerstoday.com/article-143421> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>UBS reiterated DIRECTV (NASDAQ: DTV) to Neutral with price target $95. Previously UBS rated Neutral with price target $68 DIRECTV (NASDAQ: DTV) on 12/18/2013, when the stock price was $65.36. Since then, DIRECTV's stock price has  gained 32% as of 08/28/2014's recent price of $86.01.<br />Rated Date: 8/28/2014 12:25:00 PM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143421"">View article...</A></p></body></html>"
|"UBS"||"8/28/2014 9:55:00 PM"|"Express Inc. (NYSE: EXPR) reiterated to Neutral with price target $17 by UBS"|"UBS reiterated Express Inc. (NYSE: EXPR) to Neutral with price target $17. Previously, UBS rated Express Inc. (NYSE: EXPR) to Neutral with price target $13 on 05/30/2014, when the stock price was valued at $12.61. Since then, Express Inc.'s stock price has gained 33% as of 08/28/2014's recent price of $16.78.
Rated Date: 8/28/2014 12:25:00 PM	


View article... <http://www.gainerstoday.com/article-143420> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>UBS reiterated Express Inc. (NYSE: EXPR) to Neutral with price target $17. Previously, UBS rated Express Inc. (NYSE: EXPR) to Neutral with price target $13  on 05/30/2014, when the stock price was valued at $12.61. Since then, Express Inc.'s stock price has  gained 33% as of 08/28/2014's recent price of $16.78.<br />Rated Date: 8/28/2014 12:25:00 PM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143420"">View article...</A></p></body></html>"
|"Northland Capital"||"8/28/2014 9:55:00 PM"|"Digital River, Inc. (NASDAQ: DRIV) reiterated to Market Perform with price target $18 by Northland Capital"|"Northland Capital reiterated Digital River, Inc. (NASDAQ: DRIV) to Market Perform with price target $18. Previously Northland Capital reiterated Digital River, Inc. (NASDAQ: DRIV) to Market Perform with price target $22 on 07/24/2013, when the stock price was $18.77.
Rated Date: 8/28/2014 12:25:00 PM	


View article... <http://www.gainerstoday.com/article-143419> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Northland Capital reiterated Digital River, Inc. (NASDAQ: DRIV) to Market Perform with price target $18. Previously Northland Capital reiterated Digital River, Inc. (NASDAQ: DRIV) to Market Perform with price target $22  on 07/24/2013, when the stock price was $18.77.<br />Rated Date: 8/28/2014 12:25:00 PM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143419"">View article...</A></p></body></html>"
|"Canaccord Genuity"||"8/28/2014 7:55:00 PM"|"Workday Inc. (NYSE: WDAY) reiterated to Buy with price target $110 by Canaccord Genuity"|"Canaccord Genuity reiterated Workday Inc. (NYSE: WDAY) to Buy with price target $110. Previously, Canaccord Genuity rated Workday Inc. (NYSE: WDAY) to Buy with price target $115 on 02/27/2014, when the stock price was valued at $115.47. Since then, Workday Inc.'s stock price has lost 24% as of 08/28/2014's recent price of $88.09. If you had followed Canaccord Genuity's previous recommendation on WDAY, you would have lost 24% of your investment in 182 days.
Rated Date: 8/28/2014 10:25:00 AM	


View article... <http://www.gainerstoday.com/article-143416> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayReiterations?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Canaccord Genuity reiterated Workday Inc. (NYSE: WDAY) to Buy with price target $110. Previously, Canaccord Genuity rated Workday Inc. (NYSE: WDAY) to Buy with price target $115  on 02/27/2014, when the stock price was valued at $115.47. Since then, Workday Inc.'s stock price has  lost 24% as of 08/28/2014's recent price of $88.09.</br> If you had followed Canaccord Genuity's previous recommendation on WDAY, you would have lost 24% of your investment in 182 days.<br />Rated Date: 8/28/2014 10:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143416"">View article...</A></p></body></html>"
