"From (address)"|"From (display)"|"Sent on behalf of (address)"|"Date Sent"|"Subject"|"Body"|"Body HTML"
|"JMP Securities"||"3/24/2014 8:25:00 AM"|"Yelp Inc Class A (NYSE: YELP) upgraded to Mkt Outperform  by JMP Securities"|"JMP Securities upgraded Yelp Inc Class A (NYSE: YELP) to Mkt Outperform. JMP Securities rated Yelp Inc Class A (NYSE: YELP) to Mkt Perform on 03/19/2013, when the price was $24.59. 
Rated Date: 3/24/2014 8:25:00 AM	


View article... <http://www.gainerstoday.com/article-141370> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayUpgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>JMP Securities upgraded Yelp Inc Class A (NYSE: YELP) to Mkt Outperform. JMP Securities rated Yelp Inc Class A (NYSE: YELP) to Mkt Perform   on 03/19/2013, when the price was $24.59. <br />Rated Date: 3/24/2014 8:25:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-141370"">View article...</A></p></body></html>"
|"Janney"||"8/22/2014 9:30:00 AM"|"Gap, Inc.  (NYSE: GPS) upgraded to Buy  by Janney"|"
Rated Date: 8/22/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143366> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayUpgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><br />Rated Date: 8/22/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143366"">View article...</A></p></body></html>"
|"FBR Capital"||"8/22/2014 9:30:00 AM"|"Seaworld Entertainment Inc. Co (NYSE: SEAS) upgraded to Outperform with price target $26 by FBR Capital"|"FBR Capital upgraded Seaworld Entertainment Inc. Co (NYSE: SEAS) to Outperform with price target $26. Previously FBR Capital rated Mkt Perform Seaworld Entertainment Inc. Co (NYSE: SEAS) on 11/27/2013, when the stock price was $29.34.
Rated Date: 8/22/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143365> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayUpgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>FBR Capital upgraded Seaworld Entertainment Inc. Co (NYSE: SEAS) to Outperform with price target $26. Previously FBR Capital rated Mkt Perform  Seaworld Entertainment Inc. Co (NYSE: SEAS) on 11/27/2013, when the stock price was $29.34.<br />Rated Date: 8/22/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143365"">View article...</A></p></body></html>"
|"BB&T Capital Mkts"||"8/22/2014 9:30:00 AM"|"The Fresh Market Inc (NASDAQ: TFM) upgraded to Buy with price target $41 by BB&T Capital Mkts"|"BB&T Capital Mkts upgraded The Fresh Market Inc (NASDAQ: TFM) to Buy with price target $41. Previously, BB&T Capital Mkts rated The Fresh Market Inc (NASDAQ: TFM) to Hold on 02/27/2013, when the stock price was valued at $46.79.
Rated Date: 8/22/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143364> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayUpgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>BB&T Capital Mkts upgraded The Fresh Market Inc (NASDAQ: TFM) to Buy with price target $41. Previously, BB&T Capital Mkts rated The Fresh Market Inc (NASDAQ: TFM) to Hold   on 02/27/2013, when the stock price was valued at $46.79.<br />Rated Date: 8/22/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143364"">View article...</A></p></body></html>"
|"Standpoint Research"||"8/22/2014 9:30:00 AM"|"Guess?, Inc. (NYSE: GES) upgraded to Buy with price target $32 by Standpoint Research"|"Standpoint Research upgraded Guess?, Inc. (NYSE: GES) to Buy with price target $32. Previously Standpoint Research upgraded to Guess?, Inc. (NYSE: GES) to Hold on 05/23/2013, when the stock price was $30.09.
Rated Date: 8/22/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143363> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayUpgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Standpoint Research upgraded Guess?, Inc. (NYSE: GES) to Buy with price target $32. Previously Standpoint Research upgraded to Guess?, Inc. (NYSE: GES) to Hold   on 05/23/2013, when the stock price was $30.09.<br />Rated Date: 8/22/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143363"">View article...</A></p></body></html>"
|"Needham"||"8/21/2014 9:30:00 AM"|"Photronics, Inc. (NASDAQ: PLAB) upgraded to Buy with price target $11 by Needham"|"Needham upgraded Photronics, Inc. (NASDAQ: PLAB) to Buy with price target $11. Previously Needham rated Hold Photronics, Inc. (NASDAQ: PLAB) on 11/14/2013, when the stock price was $7.90.
Rated Date: 8/21/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143361> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayUpgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Needham upgraded Photronics, Inc. (NASDAQ: PLAB) to Buy with price target $11. Previously Needham rated Hold  Photronics, Inc. (NASDAQ: PLAB) on 11/14/2013, when the stock price was $7.90.<br />Rated Date: 8/21/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143361"">View article...</A></p></body></html>"
|"Janney"||"8/21/2014 9:30:00 AM"|"American Eagle Outfitters Inc (NYSE: AEO) upgraded to Buy  by Janney"|"
Rated Date: 8/21/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143344> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayUpgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td><br />Rated Date: 8/21/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143344"">View article...</A></p></body></html>"
|"DA Davidson"||"8/20/2014 9:30:00 AM"|"Skullcandy Inc. (NASDAQ: SKUL) upgraded to Buy with price target $10 by DA Davidson"|"DA Davidson upgraded Skullcandy Inc. (NASDAQ: SKUL) to Buy with price target $10. Previously DA Davidson upgraded to Skullcandy Inc. (NASDAQ: SKUL) to Neutral with price target $10 on 03/10/2014, when the stock price was $10.00.
Rated Date: 8/20/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143335> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayUpgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>DA Davidson upgraded Skullcandy Inc. (NASDAQ: SKUL) to Buy with price target $10. Previously DA Davidson upgraded to Skullcandy Inc. (NASDAQ: SKUL) to Neutral with price target $10  on 03/10/2014, when the stock price was $10.00.<br />Rated Date: 8/20/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143335"">View article...</A></p></body></html>"
|"Argus"||"8/20/2014 9:30:00 AM"|"Centerpoint Energy, Inc (holding Co) (NYSE: CNP) upgraded to Buy with price target $29 by Argus"|"Argus upgraded Centerpoint Energy, Inc (holding Co) (NYSE: CNP) to Buy with price target $29. Argus rated Centerpoint Energy, Inc (holding Co) (NYSE: CNP) to Hold on 07/25/2011, when the price was $20.00. 
Rated Date: 8/20/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143334> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayUpgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>Argus upgraded Centerpoint Energy, Inc (holding Co) (NYSE: CNP) to Buy with price target $29. Argus rated Centerpoint Energy, Inc (holding Co) (NYSE: CNP) to Hold   on 07/25/2011, when the price was $20.00. <br />Rated Date: 8/20/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143334"">View article...</A></p></body></html>"
|"BMO Capital Markets"||"8/20/2014 9:30:00 AM"|"Edison International (NYSE: EIX) upgraded to Outperform with price target $64 by BMO Capital Markets"|"BMO Capital Markets upgraded Edison International (NYSE: EIX) to Outperform with price target $64. Previously BMO Capital Markets upgraded to Edison International (NYSE: EIX) to Market Perform with price target $53 on 03/04/2008, when the stock price was $50.67.
Rated Date: 8/20/2014 12:00:00 AM	


View article... <http://www.gainerstoday.com/article-143331> 

"|"<html><head><base href=""http://feeds.feedburner.com/GainerstodayUpgrades?format=xml""></head><style><!-- body {font-family:""Calibri"";} --></style><body><table><tr><td>BMO Capital Markets upgraded Edison International (NYSE: EIX) to Outperform with price target $64. Previously BMO Capital Markets upgraded to Edison International (NYSE: EIX) to Market Perform with price target $53  on 03/04/2008, when the stock price was $50.67.<br />Rated Date: 8/20/2014 12:00:00 AM</td></tr></table><p><BR/><A HREF=""http://www.gainerstoday.com/article-143331"">View article...</A></p></body></html>"
