FirmName, Analyst F Name, Analyst L Name
"FBR Capital Markets & Co.","Mehdi","Hosseini"
"Friedman, Billings, Ramsey & Co.","Mehdi","Hosseini"
"Hoefer & Arnett Inc.","April","Horace"
"Janco Partners, Inc.","April","Horace"
"Fearnley Fonds","Kjell Erik","Eilertsen"
"Fearnley Fonds","Kjell","Eilertsen"
"Deutsche Bank Securities","Tom","Ernst"
"National Bank Financial","Cameron","Doerksen"
"Versant Partners, Inc.","Cameron","Doerksen"
"Morgan, Keegan & Company, Inc.","Robert","Dodd"
"Raymond James","Robert","Dodd"
"Credit Suisse","Brandon","Dobell"
"William Blair & Company, L.L.C.","Brandon","Dobell"
"Cleveland Research Company","Mark","Davis"
"FTN Midwest Research","Mark","Davis"
"Ftn Midwest Securities Corp.","Mark","Davis"
"UBS","Matthieu","Coppet"
"BMO Capital Markets","Lana","Chan"
"Harris Nesbitt","Lana","Chan"
"Fraser Mackenzie Ltd.","Maria","Luckevich"
"Research Capital, Corp.","Maria","Luckevich"
"Deutsche Bank Securities","Simon","Champion"
"Desjardins Securities","Jessy","Hayem"
"Ohman Fondkommission","Fredrik","Nilhov"
"Pareto Securities AS","Frank","Harestad"
"Pareto/Nordic Partners","Frank","Harestad"
"Piper Jaffray","Steven","Hamill"
"Edison Investment Research","Peter","Dupont"
"Thomas Weisel Partners","David","Dudlyke"
"Thomas Weisel Partners Canada","David","Dudlyke"
"A. G. Edwards & Sons, Inc.","Tony","Boase"
"SG Securities","Birgit","Roeper-Gruener"
"J.P. Morgan","Adam","Greene"
"RBC Capital Markets","Adam","Greene"
"Friedman, Billings, Ramsey & Co.","Neil","Godsey"
"Cormark Securities Inc.","Jason","Donville"
"Sprott Securities Ltd.","Jason","Donville"
"Pacific Crest Securities","Brendan","Barnicle"
"ABG Sundal Collier","Anders","Idborg"
"Cormark Securities Inc.","Vigen","Ghazarian"
"Sprott Securities Ltd.","Vigen","Ghazarian"
"Stifel Nicolaus & Company, Inc.","Stephen","Geyen"
"Robert W. Baird & Co., Inc.","Tristan","Gerra"
"A. G. Edwards & Sons, Inc.","David","George"
"Robert W. Baird & Co., Inc.","David","George"
"BB&T Capital Markets","James","Gentile"
"BGB Securities, Inc.","Merrill","Ross"
"Friedman, Billings, Ramsey & Co.","Merrill","Ross"
"Credit Suisse","Kulbinder","Garcha"
"Barclays","David","Gagliano"
"Credit Suisse","David","Gagliano"
"Credit Suisse First Boston","David","Gagliano"
"Thomas Weisel Partners","Jake","Fuller"
"Ladenburg Thalmann & Co.","Patrick","Fuhrmann"
"Wachovia Capital Markets, Llc","Jennifer","Fritzsche"
"Wachovia Securities","Jennifer","Fritzsche"
"WR Hambrecht + Co","Patrick","Flanigan"
"Stephens Inc.","Shawn","Fitz"
"Janney Montgomery Scott LLC","Joel","Fishbein"
"Lazard Capital Markets","Joel","Fishbein"
"Moors & Cabot Capital Markets","Thomas","Monaco"
"Janney Capital Markets","Jonathan","Feeney"
"Janney Montgomery Scott LLC","Jonathan","Feeney"
"Wachovia Capital Markets, Llc","Jonathan","Feeney"
"Wachovia Securities","Jonathan","Feeney"
"SG Securities","John","Honore"
"Shields & Company","Christopher","Ellinghaus"
"Wall Street Access","Christopher","Ellinghaus"
"Williams Capital Group, L.P.","Christopher","Ellinghaus"
"Cheuvreux","Johan","Eliason"
"Stephens Inc.","Bradford","Eichler"
"Alfa Bank","Barry","Ehrlich"
"Credit Suisse","Dan","Eggers"
"Credit Suisse","Daniel","Eggers"
"Credit Suisse First Boston","Daniel","Eggers"
"UBS","Dominic","Edridge"
"National Bank Financial","Carolyn","Dennis"
"Suntrust Robinson Humphrey","Jennifer","Demba"
"UBS","Peter","Rozenberg"
"Thinkequity Llc","Sujeeva (Suji)","De Silva"
"Thinkequity Llc","Sujeeva","De Silva"
"Cathay Financial Inc.","Suji","De Silva"
"Kaufman Bros.","Suji","De Silva"
"Next Generation Equity Research","Christina","De Marval"
"Raymond James","Sam","Darkatsh"
"Managesource Research, Inc.","Magnus","Dalhammar"
"Robert W. Baird & Co., Inc.","Eric","Coldwell"
"Deutsche Bank Securities","Nigel","Coe"
"Merrill Lynch","Mark","Chang"
"Thompson, Davis, & Co.","David","Campbell"
"Prudential","Robert","Campagnino"
"B. Riley & Company, Inc.","Justin","Cable"
"Global Hunter Securities, LLC","Justin","Cable"
"CIBC World Markets","Mark","Bridges"
"Stifel Nicolaus & Company, Inc.","Christopher","Brendler"
"Cantor Fitzgerald","Natasha","Boyden"
"UBS","Jeroen","Bos"
"Dresdner Kleinwort","Kirk","Boodry"
"Fondsfinans Asa","Hans","Bohn"
"Singer Capital Markets","Johnathan","Barrett"
"Gmp Securities Ltd.","Sean","Barr"
"GMP Securities Ltd.","Sean","Barr"
"Banc Of America Securities","Daniel","Barcelo"
"Fox-Pitt  Kelton","Dan","Baransky"
"Fox-Pitt Kelton","Dan","Baransky"
"Bear Stearns","Jim","Ballan"
"CLSA","Hayden","Bairstow"
"Renaissance Capital","Alexander","Kazbegi"
"Wachovia Securities","Martin","Auster"
"Friedman, Billings, Ramsey & Co.","Amir","Arif"
"Stifel Nicolaus & Company,Inc.","Amir","Arif"
"ABN Amro Bank","Paul","Andriessen"
"Cormark Securities Inc.","Stephen","Andersons"
"Sprott Securities Ltd.","Stephen","Andersons"
"Prudential","Tim","Anderson"
"J.P. Morgan","Steven","Alexopoulos"
"JPMorgan","Steven","Alexopoulos"
"Sandler O'Neill & Partners L.P.","Steven","Alexopoulos"
"CIBC World Markets","Matthew","Akman"
"Macquarie Research Equities","Matthew","Akman"
"Scotia Capital","Matthew","Akman"
"Scotiabank GBM","Matthew","Akman"
"Oriel Securities","John","Karidis"
"Dutton Associates","Rafael","Kapelinski"
"Thomas Weisel Partners","Jason","Ader"
"William Blair & Company, L.L.C.","Jason","Ader"
"Icap","Ben","Abramovitz"
"Icap Equity Research","Ben","Abramovitz"
"Kaufman Bros.","Ben","Abramovitz"
"Morgan Stanley","Nick","Delfas"
"JPMorgan","Andreas Van","Embden"
"JPMorgan","Andreas Degroot","Van Embden"
"Deutsche Bank Securities","Andrew","Anagnostellis"
"Deutsche Bank Securities","Brandt","Sakakeeny"
"J.P. Morgan","Joseph","Allman"
"JPMorgan","Joseph","Allman"
"RBC Capital Markets","Joseph","Allman"
"UBS","Long","Jiang"
"Danske Markets","Poul Ernst","Jessen"
"Investec","David","Jeary"
"Jefferies & Co.","James","Alexander"
"Berenberg Bank","Adnaan","Ahmad"
"Corporate Synergy Plc","Luke","Ahern"
"JPMorgan","Kian","Abouhossein"
"Westwind Partners Inc","Youssef","Abboud"
"Fox-Pitt  Kelton","Dan","Farrell"
"Fox-Pitt Kelton","Dan","Farrell"
"Sterne, Agee & Leach","Dan","Farrell"
"C.L. King & Associates, Inc.","Lawrence","Harris"
"Oppenheimer & Co.","Lawrence","Harris"
"Bear Stearns","Akhtar","Samad"
"Deutsche Bank Securities","Todd","Raker"
"Wachovia Capital Markets, Llc","John","Morris"
"Wachovia Securities","John","Morris"
"Suntrust Robinson Humphrey","David S","Macdonald"
"Suntrust Robinson Humphrey","David","Macdonald"
"CIBC World Markets","Charles","Lynch"
"Deutsche Bank Securities","David","Low"
"Banc Of America Securities","Tim","Long"
"BMO Capital Markets","Tim","Long"
"Macquarie Research Equities","Eva","Lee"
"TD Newcrest","Andrew","Lee"
"Deutsche Bank Securities","Stephen","Laws"
"HSBC","Jenny","Lai"
"Goldman Sachs","James","Kelly"
"Credit Suisse","Edward","Kelly"
"Credit Suisse First Boston","Edward","Kelly"
"Ladenburg Thalmann & Co.","Matthew","Kaplan"
"Punk, Ziegel & Co.","Matthew","Kaplan"
"RBC Capital Markets","Jason","Kantor"
"Avondale Partners LLC","Bret","Jordan"
"Friedman, Billings, Ramsey & Co.","Stewart","Johnson"
"Macquarie Research Equities","David","Johnson"
"American Technology Research","Andrew","Huang"
"GC Research Ltd.","Andrew","Huang"
"National Bank Financial","Ian","Howat"
"CIBC World Markets","Timothy","Horan"
"Oppenheimer & Co.","Timothy","Horan"
"Stifel Nicolaus & Company, Inc.","Patrick","Ho"
"Blackmont Capital","David","Hartley"
"BMO Capital Markets","David","Hartley"
"Jyske Bank","Per","Hansen"
"JPMorgan","Rod","Hall"
"Panmure Gordon & Co. Limited","Charles","Hall"
"Blackmont Capital","Barbara","Gray"
"Dresdner Kleinwort","Colin","Grant"
"Bear Stearns","Scott","Graham"
